bin,domain,signal_CAZ_count,total_CAZ_count,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,total_pep_count,signal_pep_aa
deep_MAG_0466,Bacteria,8,87,3991,832499,3066,28,129,12298
deep_MAG_0021,Bacteria,27,124,13152,1168156,3565,72,199,41702
deep_MAG_0258,Bacteria,9,69,4851,758537,2606,59,140,29643
deep_MAG_0355,Bacteria,18,76,11969,997275,3255,77,225,39036
deep_MAG_0322,Bacteria,0,41,0,810363,2743,14,162,6062
deep_MAG_0328,Bacteria,67,167,40756,1273530,3853,129,237,74999
deep_MAG_0553,Bacteria,71,190,40984,1224081,3880,117,225,64864
deep_MAG_0019,Bacteria,20,106,8646,853222,2712,103,199,65400
deep_MAG_0169,Bacteria,10,85,4867,969344,3101,36,139,23005
deep_MAG_0064,Bacteria,23,139,10345,1245608,3905,40,193,16555
deep_MAG_0013,Bacteria,41,147,25220,763323,2222,92,166,48370
deep_MAG_0284,Bacteria,16,74,9647,696590,2286,63,140,31937
deep_MAG_0367,Bacteria,23,133,10950,1398713,4405,46,203,20664
deep_MAG_0383,Bacteria,62,125,44828,829641,2655,39,114,19347
deep_MAG_0045,Bacteria,20,154,7965,1194783,3858,37,171,15519
deep_MAG_0596,Bacteria,2,43,872,516172,1666,32,102,20527
deep_MAG_0578,Bacteria,13,74,8757,1047912,2821,82,164,57764
deep_MAG_0572,Bacteria,27,122,14332,1050799,3395,101,215,57985
deep_MAG_0491,Bacteria,19,98,12203,757499,2279,77,154,47597
deep_MAG_0505,Bacteria,6,60,2960,952198,3574,23,196,7876
deep_MAG_0038,Bacteria,82,182,53793,1024524,2875,53,154,28327
deep_MAG_0606,Bacteria,33,129,25875,1170111,3479,85,181,53470
deep_MAG_0241,Archaea,0,21,0,312377,1222,3,42,2132
deep_MAG_0447,Bacteria,6,45,3976,549556,1755,54,132,32420
deep_MAG_0430,Bacteria,19,94,8722,1123517,3745,59,180,30985
deep_MAG_0077,Bacteria,27,94,13598,624445,1996,52,131,28336
deep_MAG_0194,Bacteria,2,35,1077,436712,1464,29,83,17578
deep_MAG_0093,Archaea,0,20,0,393756,1750,2,53,1938
deep_MAG_0309,Bacteria,0,60,0,975889,3503,15,152,7533
deep_MAG_0390,Bacteria,17,89,9605,733457,2451,75,156,39285
deep_MAG_0303,Bacteria,19,96,10704,1024181,3157,62,167,33564
EAC-710,Archaea,1,28,832,587425,1536,10,74,8390
EAC-37,Bacteria,39,132,22360,1118712,3352,97,205,59637
EAC-1768,Archaea,1,19,921,585201,1624,6,64,5432
EAC-85,Bacteria,94,190,58246,1097860,3377,45,140,22059
EAC-5,Bacteria,22,95,14081,994849,2871,108,206,68750
EAC-2021,Bacteria,1,33,824,629743,1993,9,103,4461
EAC-16,Bacteria,19,109,7425,935392,3054,26,151,9349
EAC-673,Bacteria,22,98,13168,965414,3112,103,218,60227
EAC-59,Bacteria,13,83,6479,672373,2173,53,117,29354
EAC-102,Bacteria,9,83,4693,963928,2924,39,159,16507
EAC-108,Bacteria,19,105,10573,832338,2523,71,148,46083
EAC-29,Bacteria,21,72,13189,1188998,3131,54,159,26955
EAC-631,Bacteria,24,116,11751,1027561,3310,94,219,51753
EAC-646,Bacteria,81,141,58674,1071415,2746,69,139,36182
EAC-54,Bacteria,16,91,8490,1056672,3386,40,176,22784
EAC-2,Bacteria,25,90,13877,848866,2769,82,184,50000
EAC-88,Bacteria,17,93,11111,880669,2744,86,179,45736
EAC-66,Bacteria,74,193,44619,1305013,3978,102,202,66966
EAC-11,Bacteria,7,57,4618,649405,1876,32,111,22279
EAC-674,Bacteria,43,104,25305,598948,1735,43,113,25226
EAC-30,Archaea,1,22,915,548568,1451,7,71,6851
EAC-47,Bacteria,17,102,9961,1152961,3373,129,223,74386
EAC-75,Bacteria,7,58,3727,662342,2154,29,113,12111
EAC-91,Bacteria,40,159,26218,1474065,4270,64,195,32296
EAC-683,Bacteria,23,170,10972,1660607,5317,51,244,28716
EAC-713,Bacteria,13,98,5046,925308,2846,33,139,14058
EAC-95,Bacteria,19,104,11519,907659,2750,94,189,60727
EAC-71,Bacteria,35,147,17700,1499831,5122,109,258,61271
EAC-1785,Bacteria,4,47,2336,413805,1327,12,73,5737
EAC-49,Bacteria,13,113,7267,1211251,3786,43,169,21187
EAC-34,Bacteria,0,27,0,456184,1531,4,61,1772
EAC-43,Bacteria,15,83,10227,2116550,7396,70,173,40810
EAC-670,Bacteria,13,104,6185,986741,3326,28,150,11816
EAC-6,Bacteria,10,97,5009,1007931,3216,104,226,59828
EAC-68,Bacteria,84,178,49201,1024378,3075,103,203,71181
EAC-86,Bacteria,18,69,12712,717854,2157,67,152,33854
EAC-50,Bacteria,20,133,10582,1230516,3704,42,175,19995
EAC-635,Bacteria,11,55,8623,734808,2208,83,160,43893
EAC-642,Bacteria,10,61,7330,505561,1505,42,114,25075
EAC-20,Bacteria,13,114,5805,999885,3180,34,127,14782
EAC-645,Bacteria,17,141,6969,1080844,3435,30,170,10568
EAC-632,Bacteria,26,110,14550,1085025,3433,100,228,55926
EAC-65,Bacteria,1,63,456,675933,2157,19,138,8535
EAC-1,Bacteria,17,91,8025,760741,2479,77,171,40607
EAC-81,Bacteria,5,70,2633,1046886,3270,58,236,34011
EAC-44,Bacteria,16,67,7030,667590,2092,27,94,11071
EAC-33,Bacteria,9,51,4758,571097,1626,44,102,28055
EAC-714,Bacteria,19,42,9422,380001,1201,30,79,17339
EAC-92,Bacteria,22,150,16983,1148460,3474,114,214,73067
EAC-76,Bacteria,20,111,9556,1297892,4185,41,204,15476
EAC-98,Bacteria,39,149,22181,1204155,3754,98,215,53984
EAC-654,Bacteria,4,66,2546,1105715,3138,31,139,20618
EAC-623,Bacteria,3,53,1701,791821,2484,42,181,23341
EAC-46,Bacteria,18,80,9861,791848,2549,82,171,47912
EAC-31,Bacteria,17,76,11016,697829,2275,63,140,38455
EAC-2006,Bacteria,19,79,10148,445622,1342,31,87,20338
EAC-682,Bacteria,8,48,5531,573347,1684,60,127,36807
EAC-74,Bacteria,29,125,19859,1378896,3877,105,204,69427
EAC-109,Bacteria,18,99,10665,935772,2931,92,173,62074
EAC-103,Bacteria,6,94,3910,928830,2965,17,147,7501
EAC-55,Bacteria,14,94,6323,900469,2793,76,177,45846
EAC-647,Bacteria,80,149,57939,988591,2606,50,133,29811
EAC-10,Bacteria,0,23,0,424562,1387,3,58,892
EAC-9,Bacteria,2,59,1061,857373,2717,14,147,6619
EAC-3,Bacteria,134,277,78159,1516029,4551,179,307,129013
EAC-691,Archaea,0,12,0,290263,1020,1,52,574
EAC-60,Bacteria,12,105,6541,1482192,5105,49,218,20887
EAC-17,Bacteria,95,246,58308,1579474,4732,136,274,78244
EAC-4,Bacteria,63,157,40051,1310009,4088,177,290,112183
EAC-52,Bacteria,63,138,41600,1190869,3451,114,221,70324
EAC-58,Bacteria,97,210,61956,1127795,3216,56,164,28611
EAC-97,Bacteria,14,71,6264,649900,2043,68,151,36993
EAC-73,Bacteria,21,156,9614,1389450,4228,48,188,19750
EAC-723,Bacteria,9,40,5208,488543,1433,31,96,21253
EAC-624,Bacteria,7,45,4278,489852,1488,46,98,26981
EAC-653,Bacteria,1,38,436,418709,1351,5,60,1990
EAC-36,Bacteria,8,75,10074,1142451,3644,35,187,15969
EAC-41,Bacteria,22,108,11723,1228500,3780,47,178,27158
EAC-117,Bacteria,9,44,5974,491069,1457,51,109,30872
EAC-32,Bacteria,13,54,9792,602007,1637,49,106,35525
EAC-45,Bacteria,124,247,73320,1332200,3845,142,260,95555
EAC-657,Bacteria,12,86,5528,659945,2441,29,113,11642
EAC-38,Bacteria,3,38,1761,426539,1206,32,84,21812
EAC-113,Bacteria,1,26,439,303314,1013,8,46,3675
EAC-77,Bacteria,14,118,7344,1020551,3276,38,191,16015
EAC-2037,Bacteria,13,58,8533,535557,1605,59,118,30812
EAC-93,Bacteria,9,78,5769,868453,2694,71,153,38519
EAC-21,Bacteria,8,91,3881,1306899,4133,36,195,15167
EAC-56,Bacteria,22,124,7686,1203577,4002,39,183,12947
EAC-64,Bacteria,4,56,2088,892199,2920,25,153,11059
EAC-13,Bacteria,1,30,317,461526,1471,7,43,2939
EAC-676,Bacteria,5,53,2951,549772,1591,32,100,22457
EAC-695,Bacteria,19,107,8169,935135,2975,37,164,14292
EAC-69,Bacteria,23,138,10153,1280197,3929,48,173,28064
EAC-87,Bacteria,11,119,5377,1682300,5245,52,261,28748
EAC-63,Bacteria,47,179,28113,1397656,4458,160,304,91285
EAC-107,Archaea,2,28,2350,615629,1603,8,78,6786
EAC-649,Bacteria,2,31,1115,439946,1258,26,87,22318
EAC-634,Bacteria,13,78,6633,967229,3183,102,212,56304
EAC-51,Bacteria,11,82,5793,716100,2297,60,120,37110
EAC-662,Bacteria,85,173,61096,1263722,3249,66,164,40564
EAC-94,Bacteria,14,116,7068,1174329,3396,85,198,52641
EAC-35,Bacteria,0,42,0,719883,2286,5,145,2691
EAC-650,Bacteria,9,53,5437,594186,1666,33,108,21586
EAC-627,Bacteria,3,49,1556,843383,2833,12,172,5766
EAC-48,Bacteria,11,86,4105,966743,3193,38,167,13006
IN-14,Bacteria,21,124,11659,1274305,4324,91,213,54672
IN-48,Bacteria,47,139,29322,910101,2607,35,116,18141
IN-1213,Bacteria,0,65,0,605561,1943,10,117,4034
IN-42,Bacteria,81,157,52299,815230,2241,32,98,14961
IN-35,Archaea,2,46,1640,631888,1710,10,84,7989
IN-918,Archaea,0,16,0,435019,1232,4,60,3999
IN-912,Bacteria,17,94,6741,1045280,3484,38,170,19661
IN-32,Bacteria,39,158,20946,1159754,3485,99,213,64374
IN-13,Bacteria,79,238,44467,1463190,4390,167,286,103149
IN-19,Bacteria,17,149,7866,1342605,4249,43,196,20175
IN-21,Bacteria,11,120,5655,1089719,3437,27,176,12304
IN-25,Bacteria,20,122,10848,907055,2880,15,135,7983
IN-17,Bacteria,38,153,24449,1008209,3028,84,177,57429
IN-3,Bacteria,17,137,8578,1126540,3617,41,180,19123
IN-929,Bacteria,11,85,7057,696712,2180,60,154,33113
IN-9,Bacteria,16,94,6404,986071,3157,44,170,19593
IN-924,Bacteria,1,54,446,623148,1973,11,106,5481
IN-961,Archaea,0,27,0,481013,1289,6,71,6284
IN-10,Bacteria,74,182,40179,1203360,3422,138,240,89261
IN-28,Bacteria,23,137,11902,1180755,3869,113,239,61748
IN-22,Bacteria,24,117,11920,831755,2745,75,169,39421
IN-18,Bacteria,19,136,8711,1350662,4286,39,202,16870
IN-12,Bacteria,15,120,6526,931747,2997,30,123,11764
IN-20,Bacteria,47,133,23603,981527,3175,93,210,54922
IN-6,Bacteria,21,178,8677,1592440,5151,37,189,16096
IN-43,Bacteria,11,73,5204,606453,1982,16,88,6298
IN-919,Bacteria,5,59,2314,655799,2134,4,137,1495
IN-1,Bacteria,30,155,13803,1143086,3836,53,178,21309
IN-921,Bacteria,30,103,18949,754104,2154,23,95,11336
IN-27,Bacteria,12,76,5578,683536,2355,77,177,41908
IN-15,Bacteria,17,106,7703,839477,2759,33,127,13977
IN-11,Bacteria,42,170,21861,1809878,6402,113,266,64668
IN-23,Bacteria,26,128,16675,1098688,3919,88,188,52622
IN-29,Bacteria,26,121,15205,1024237,3182,76,176,46014
IN-5,Bacteria,19,127,9389,958787,3025,41,139,17200
IN-1311,Bacteria,6,84,2882,781407,2479,16,137,7633
IN-47,Bacteria,8,78,3570,688237,2264,17,124,7869
IN-40,Bacteria,17,83,8596,640304,2147,61,137,35135
IN-37,Archaea,2,34,2766,551780,1500,5,76,3042
IN-928,Bacteria,21,106,12082,923047,2893,39,146,19281
IN-8,Bacteria,18,133,8793,1252260,4003,99,236,53457
IN-922,Bacteria,27,139,14013,1003761,3432,42,159,17427
IN-2,Bacteria,33,176,16006,1200837,4011,48,174,20592
IN-16,Bacteria,34,125,17187,863560,2977,81,175,43749
MED-1008,Bacteria,3,50,1845,569387,1795,15,89,6863
MED-719,Bacteria,103,185,76060,1230617,3302,60,152,43217
MED-584,Bacteria,26,74,16914,545028,1639,37,104,22302
MED-721,Bacteria,1,24,449,542044,1622,21,75,9816
MED-756,Bacteria,5,59,3155,911447,2718,25,128,11838
MED-626,Bacteria,1,39,453,383171,1289,11,63,4944
MED-878,Bacteria,2,33,1139,461553,1491,9,76,3759
MED-670,Bacteria,34,86,20901,409349,1199,10,40,4142
MED-694,Bacteria,1,35,447,486061,1668,23,69,9475
MED-1116,Bacteria,2,31,1079,280219,969,6,40,2781
MED-853,Archaea,1,31,903,750294,2062,11,82,7683
MED-635,Bacteria,91,143,60908,856773,2268,48,110,28845
MED-1153,Bacteria,1,38,335,330580,1113,6,41,2224
MED-648,Bacteria,15,68,8999,703256,2081,47,138,32130
MED-732,Bacteria,14,56,8269,494404,1391,38,99,23151
MED-745,Bacteria,2,57,811,913434,3063,20,120,9712
MED-1227,Bacteria,4,62,2300,640783,2060,15,105,6168
MED-829,Bacteria,7,49,4374,507772,1400,20,88,14541
MED-707,Archaea,0,19,0,537618,1435,6,76,3649
MED-621,Bacteria,19,82,12496,711909,2057,54,135,34852
MED-589,Bacteria,12,74,7617,914272,2642,44,136,33396
MED-830,Bacteria,14,75,6867,584288,1825,40,116,23168
MED-613,Bacteria,2,43,985,513046,1652,25,93,13218
MED-769,Bacteria,2,37,1112,406025,1370,7,47,2854
MED-587,Bacteria,7,90,3987,1097003,3451,32,157,14711
MED-834,Bacteria,4,53,2847,706850,2179,20,102,7879
MED-1001,Bacteria,8,48,4024,489644,1445,39,98,22119
MED-660,Bacteria,7,86,4795,1365524,3905,48,233,24940
MED-617,Bacteria,3,34,1397,445544,1545,8,69,3126
MED-806,Bacteria,15,75,12897,841495,2253,52,151,43069
MED-728,Bacteria,23,132,11814,1517350,4981,63,219,26736
MED-652,Bacteria,5,34,2397,539518,1819,10,75,5375
MED-850,Bacteria,7,77,2804,590592,2135,17,94,6277
MED-827,Bacteria,2,31,1082,276019,965,6,44,2436
MED-1261,Bacteria,2,43,1222,417053,1338,24,77,10741
MED-697,Bacteria,121,270,88596,2259689,6179,93,249,52345
MED-703,Bacteria,4,39,2531,605872,1771,28,99,16320
MED-604,Bacteria,35,95,21710,774175,2293,91,175,49904
MED-815,Bacteria,13,88,8000,1005897,3210,39,219,23264
MED-965,Bacteria,2,44,1029,596222,1989,18,114,7921
MED-746,Bacteria,7,43,5710,540420,1562,28,112,19586
MED-636,Bacteria,43,105,28802,896835,2524,98,193,61262
MED-641,Bacteria,1,30,439,450682,1428,40,102,23560
MED-818,Bacteria,10,44,5985,439990,1316,33,85,18742
MED-704,Bacteria,11,42,6241,440131,1353,34,93,19771
MED-690,Bacteria,16,83,9532,737562,2309,36,137,18363
MED-779,Bacteria,14,59,8283,499423,1526,37,97,20019
MED-797,Bacteria,5,78,2363,790400,2441,13,111,5980
MED-603,Bacteria,31,91,19013,660367,1985,79,155,41803
MED-674,Bacteria,6,83,5042,1060835,3480,17,159,7342
MED-599,Bacteria,21,100,14617,1384697,4162,49,188,35226
MED-725,Bacteria,4,50,1993,424071,1336,19,77,9385
MED-752,Bacteria,6,55,3250,785421,2525,36,121,14250
MED-801,Bacteria,1,37,375,368208,1187,25,77,16680
MED-995,Bacteria,11,48,8710,388899,1165,27,69,19787
MED-610,Bacteria,40,144,24190,1170724,3530,111,228,61261
MED-667,Bacteria,6,56,3563,537703,1700,30,108,14167
MED-689,Bacteria,3,31,1387,434249,1502,9,69,3331
MED-717,Bacteria,3,47,1612,507759,1617,6,72,2730
MED-580,Bacteria,7,87,4739,1376899,3980,39,224,19790
MED-809,Bacteria,40,106,23734,518581,1519,20,62,8344
MED-803,Bacteria,0,47,0,662522,1998,18,109,9024
MED-657,Bacteria,4,38,1778,646744,2392,10,85,4242
MED-620,Bacteria,8,72,4222,912166,2901,23,170,9928
MED-846,Archaea,0,17,0,422050,1192,6,73,3671
MED-1190,Bacteria,8,64,3883,583535,1846,16,112,8687
MED-665,Bacteria,12,92,5977,1430667,5050,34,248,13126
MED-768,Bacteria,6,43,2607,517507,1739,13,91,5304
MED-715,Bacteria,1,28,440,420414,1460,8,64,3282
MED-867,Bacteria,0,31,0,559167,1839,8,97,3713
MED-810,Bacteria,11,79,6399,893584,2788,54,184,29549
MED-743,Archaea,2,37,1272,619805,1770,6,79,4230
MED-633,Bacteria,22,122,8102,1061333,3438,45,183,15232
MED-855,Bacteria,8,52,4962,663208,2082,69,143,38055
MED-828,Bacteria,12,64,8970,657718,1993,52,117,23851
MED-692,Bacteria,25,68,17116,761200,2028,72,132,46363
MED-698,Bacteria,11,72,6103,955744,2957,53,209,28096
MED-606,Bacteria,1,27,444,276667,982,5,53,2227
MED-792,Bacteria,4,53,2216,673539,2220,15,110,6051
MED-928,Bacteria,21,99,12565,1137548,3900,46,247,24662
MED-825,Bacteria,15,88,10000,800854,2407,81,168,45336
MED-955,Bacteria,1,30,441,474120,1532,30,99,20616
MED-649,Bacteria,12,54,7158,434774,1293,34,85,24832
MED-739,Bacteria,6,52,3525,412868,1240,8,55,3838
MED-615,Bacteria,9,56,6632,518837,1608,45,111,25631
MED-668,Bacteria,49,165,31106,1277124,3898,104,224,63524
MED-585,Bacteria,5,38,2634,646815,2167,15,106,6721
MED-841,Bacteria,6,40,4273,422813,1258,13,53,6443
MED-650,Bacteria,7,85,3424,560611,2079,15,94,5144
MED-757,Bacteria,4,51,2228,628570,1909,24,108,17130
MED-879,Bacteria,3,36,4368,498024,1591,18,89,9922
MED-753,Bacteria,1,28,591,366293,1201,8,41,3368
MED-759,Bacteria,6,60,3163,562995,1842,14,82,5920
MED-899,Archaea,0,22,0,614240,1703,9,74,7824
MED-1094,Bacteria,9,55,5495,529298,1449,31,102,18805
MED-716,Bacteria,5,90,2697,869189,2824,20,144,8431
MED-682,Bacteria,11,67,7958,807083,2695,23,119,11986
MED-611,Bacteria,9,64,5807,638626,2011,61,135,35974
MED-581,Bacteria,8,63,4745,701605,2201,70,145,35535
MED-630,Bacteria,2,52,611,387544,1470,7,71,3168
MED-740,Archaea,0,12,0,291299,1241,1,42,676
MED-819,Bacteria,18,59,11883,455778,1308,41,94,27264
MED-880,Bacteria,2,41,1019,530837,1704,10,72,3745
MED-778,Bacteria,13,69,10233,442845,1357,26,80,12426
MED-796,Bacteria,42,94,26505,669699,1976,35,114,22771
MED-602,Bacteria,3,43,1528,602218,2193,9,58,3906
MED-705,Archaea,0,18,0,570670,1541,7,67,6405
MED-608,Bacteria,20,70,14216,890222,2447,54,128,32950
MED-592,Bacteria,34,132,19318,1141414,3595,107,220,65036
MED-921,Archaea,0,21,0,655976,1691,5,82,3247
MED-595,Bacteria,3,44,1761,657812,2141,10,108,5054
MED-605,Bacteria,7,52,3081,515569,1787,8,62,3602
MED-672,Bacteria,8,74,5950,1222136,3568,43,215,20509
MED-708,Bacteria,41,103,28159,1048556,2914,58,147,34964
MED-775,Bacteria,1,27,617,585284,1827,11,85,6436
MED-702,Bacteria,22,112,12061,969494,3102,101,212,59035
MED-814,Bacteria,1,55,442,617409,2056,13,94,6133
MED-104,Bacteria,2,25,1059,280601,994,6,46,3226
MED-730,Bacteria,3,51,1789,463040,1493,15,83,7293
MED-835,Bacteria,6,53,3571,557346,1623,17,90,8167
MED-586,Bacteria,9,46,4937,501820,1400,31,92,21120
MED-1093,Archaea,0,23,0,674014,1729,5,81,4753
MED-766,Bacteria,3,35,1807,509796,1695,10,74,4239
MED-616,Bacteria,3,52,1674,668731,2147,16,111,6503
MED-661,Bacteria,140,264,101759,2037910,5399,113,251,62167
MED-870,Archaea,0,17,0,514984,1435,11,76,7931
MED-754,Bacteria,20,70,12861,560734,1842,33,102,18897
MED-653,Bacteria,13,91,6950,1063333,3370,103,213,59809
MED-624,Bacteria,14,87,7421,1130763,3631,128,244,70313
NAT-138,Bacteria,17,93,7476,739581,2207,29,129,12702
NAT-145,Bacteria,35,108,20997,569196,1652,14,60,6310
NAT-132,Bacteria,117,191,81378,984688,2488,63,121,30175
NAT-40,Bacteria,5,91,1994,665027,2473,22,111,8447
NAT-575,Bacteria,1,40,420,611023,2086,11,138,5149
NAT-231,Bacteria,36,94,22038,470531,1353,39,90,24433
NAT-72,Bacteria,4,44,1998,671375,2196,12,111,5574
NAT-100,Bacteria,5,56,1809,663753,2093,5,122,2849
NAT-203,Bacteria,15,98,9044,639477,1805,45,125,31038
NAT-290,Bacteria,50,409,24058,2069937,6090,62,251,32893
NAT-209,Bacteria,26,104,13919,747896,2342,70,154,38010
NAT-121,Bacteria,44,202,25676,1574329,4638,99,243,58027
NAT-53,Bacteria,1,26,437,333840,1084,7,48,3458
NAT-24,Bacteria,13,91,6820,817183,2627,36,119,15246
NAT-222,Bacteria,1,31,438,374297,1205,3,60,1398
NAT-255,Bacteria,8,58,5256,624773,1983,9,105,5253
NAT-16,Bacteria,25,133,12626,1072355,3452,122,249,66730
NAT-61,Bacteria,209,343,157033,2316151,5989,113,257,67543
NAT-113,Bacteria,21,120,11121,911888,2962,89,193,49280
NAT-453,Bacteria,0,34,0,453089,1463,6,78,2674
NAT-119,Bacteria,2,43,1253,563838,1916,5,76,2290
NAT-210,Bacteria,185,323,111016,1330002,3707,153,250,104024
NAT-284,Bacteria,3,67,1641,782895,2447,4,153,1947
NAT-217,Bacteria,9,58,4846,524524,1511,36,95,30803
NAT-88,Bacteria,5,37,3034,498557,1341,47,95,35581
NAT-66,Bacteria,4,67,2716,877884,2771,17,145,6837
NAT-11,Archaea,1,45,829,614036,1629,8,80,4760
NAT-163,Bacteria,33,113,17559,548351,1636,22,79,14156
NAT-82,Bacteria,20,167,8141,1239847,3933,32,167,13470
NAT-187,Bacteria,40,146,22834,777269,2193,54,144,35783
NAT-169,Bacteria,53,227,27422,1625342,4954,44,239,17150
NAT-258,Bacteria,38,162,25369,1097502,3421,60,144,38961
NAT-7,Bacteria,21,157,10911,1600229,5122,38,221,13771
NAT-686,Bacteria,10,62,6256,867160,2783,26,155,16203
NAT-252,Bacteria,22,68,11512,457970,1377,40,99,23705
NAT-225,Bacteria,30,118,18159,990219,2968,113,208,54812
NAT-23,Bacteria,194,373,129195,2167853,5937,137,296,78268
NAT-54,Archaea,0,11,0,380911,1059,5,63,3784
NAT-91,Bacteria,13,89,6245,892371,2856,93,198,50478
NAT-430,Bacteria,1,27,437,303138,993,9,41,4296
NAT-75,Bacteria,17,109,10372,1043434,3229,44,163,21402
NAT-170,Bacteria,19,156,8745,1158813,3688,44,220,20059
NAT-241,Bacteria,13,104,5537,610304,2025,19,88,7755
NAT-142,Bacteria,116,176,74353,846993,2235,59,117,31812
NAT-30,Bacteria,21,143,10267,1442909,4225,45,199,18951
NAT-238,Archaea,3,34,3226,601595,1598,9,69,9653
NAT-245,Bacteria,4,60,1797,385776,1328,11,55,4781
NAT-232,Bacteria,5,56,2315,396338,1252,19,73,9614
NAT-501,Bacteria,4,30,2483,382097,1119,42,86,26962
NAT-43,Bacteria,4,59,2457,626426,1931,27,106,14477
NAT-131,Bacteria,60,228,35634,2695088,7096,137,327,71523
NAT-146,Bacteria,5,57,3853,461142,1492,10,77,5228
NAT-200,Bacteria,11,53,6956,360902,1113,38,81,20798
NAT-71,Bacteria,1,50,464,826452,2602,7,167,4302
NAT-190,Bacteria,1,36,370,405176,1301,5,106,3188
NAT-221,Bacteria,7,82,3070,538178,1758,17,74,8103
NAT-9,Bacteria,22,107,10438,999840,3095,25,137,9857
NAT-3,Bacteria,23,155,13890,1714419,5485,62,269,27949
NAT-155,Bacteria,335,504,229943,2122077,5334,116,274,62880
NAT-280,Bacteria,19,74,11918,587212,1728,83,156,45302
NAT-68,Archaea,1,29,910,668524,1780,9,76,7693
NAT-167,Bacteria,27,203,11202,1727101,5632,51,250,20257
NAT-62,Bacteria,1,34,929,468101,1335,26,85,19014
NAT-15,Bacteria,157,316,92492,1432259,4210,175,294,129133
NAT-81,Bacteria,11,85,7731,1233288,3580,40,171,32104
NAT-18,Bacteria,9,82,5014,625140,1747,22,90,10663
NAT-117,Bacteria,57,350,41285,1989978,5881,77,279,43977
NAT-12,Bacteria,15,66,9342,426409,1230,34,97,21130
NAT-269,Bacteria,23,99,13806,464586,1362,29,78,17570
NAT-158,Bacteria,11,89,4776,719784,2256,18,116,8406
NAT-20,Bacteria,26,167,14581,1473803,4678,58,231,22932
NAT-125,Bacteria,20,114,9111,856827,2826,29,114,11303
NAT-4,Bacteria,23,145,12509,1483341,4303,49,201,23384
NAT-173,Bacteria,32,193,15321,1618643,5145,62,243,26001
NAT-179,Bacteria,13,76,7136,543104,1525,35,93,25597
NAT-197,Bacteria,21,94,13115,614753,1776,34,90,21845
NAT-92,Bacteria,60,174,36015,1172935,3568,82,168,52714
NAT-33,Bacteria,9,94,6156,1483369,4388,35,239,15979
NAT-141,Bacteria,15,76,6613,590719,1926,21,90,10901
NAT-39,Bacteria,3,63,1653,839530,2695,12,139,4873
NAT-248,Bacteria,38,107,21981,557752,1649,40,105,26888
NAT-242,Bacteria,111,201,68142,869745,2327,46,111,24879
NAT-278,Bacteria,9,88,4963,542803,1780,21,71,9757
NAT-272,Bacteria,10,53,6227,379719,1116,41,88,25145
NAT-205,Bacteria,15,76,9078,559364,1590,27,94,19118
NAT-74,Bacteria,1,32,608,493018,1431,28,90,22774
NAT-171,Bacteria,3,45,1751,476305,1494,5,71,2180
NAT-90,Bacteria,20,60,12864,483993,1377,52,108,31724
NAT-237,Bacteria,51,126,28613,592014,1796,12,60,4771
NAT-143,Bacteria,6,54,2219,657366,2044,6,102,2385
NAT-134,Bacteria,53,196,31743,1303672,3738,120,224,76294
NAT-149,Bacteria,42,127,25329,990268,2673,58,141,39756
NAT-422,Bacteria,13,55,8798,584742,1640,42,113,26929
NAT-89,Bacteria,19,82,10322,1066070,3408,113,225,62243
NAT-10,Bacteria,27,204,13138,1588104,4942,59,221,32636
NAT-67,Bacteria,17,117,8820,1109788,3417,54,151,28742
NAT-224,Bacteria,13,70,6176,529569,1531,31,100,22052
NAT-253,Bacteria,35,156,17146,1320420,4137,50,213,29246
NAT-6,Bacteria,54,137,34911,1507723,4312,141,250,82623
NAT-259,Bacteria,18,82,11203,545059,1648,41,113,24346
NAT-28,Bacteria,15,134,7570,1210566,3727,29,150,13067
NAT-127,Bacteria,14,124,6932,1074862,3408,45,162,23980
NAT-55,Bacteria,7,42,3917,637487,2005,24,89,14343
NAT-22,Bacteria,181,460,132098,1902067,5140,48,151,32906
NAT-417,Bacteria,1,31,440,428370,1311,5,64,2057
NAT-157,Bacteria,16,131,7264,774775,2448,30,114,14002
NAT-52,Bacteria,13,48,7749,620310,1757,36,106,27989
NAT-510,Bacteria,1,26,439,323739,1051,11,48,5751
NAT-1,Bacteria,48,286,30588,1696773,5988,39,187,20175
NAT-84,Bacteria,17,79,10989,1180739,3675,95,285,52693
NAT-118,Bacteria,0,43,0,438681,1425,2,60,546
NAT-181,Bacteria,116,192,72260,934986,2452,66,130,39875
NAT-60,Bacteria,17,79,8903,785117,2548,73,178,39089
NAT-17,Bacteria,26,142,9635,1086039,3537,39,169,15075
NAT-165,Bacteria,27,111,16194,790987,2165,57,122,38144
NAT-288,Archaea,2,41,1504,535043,1395,9,73,7460
NAT-282,Bacteria,81,188,42750,925379,2764,100,181,68915
NAT-133,Bacteria,75,214,52928,1406592,3551,139,244,104769
NAT-41,Bacteria,24,89,13936,744268,2151,60,145,35792
NAT-509,Bacteria,1,26,438,339902,1108,7,47,3638
NAT-198,Bacteria,11,79,7003,538723,1507,32,98,25914
NAT-101,Bacteria,22,83,13585,684646,2076,77,155,37823
NAT-441,Bacteria,0,20,0,448123,1482,5,65,2319
NAT-79,Bacteria,15,87,12682,1231721,3479,42,164,22595
NAT-291,Bacteria,23,121,11397,1307608,4147,65,223,29306
