gene_callers_id,contig,start,stop,direction,partial,call_type,integron,ocean,accession,function
28919,c_2091,13798,15574,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
69912,c_5307,994,1807,f,0,1,CALIN,ARS,V,Defense mechanisms
69914,c_5307,2877,3843,r,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
82845,c_6369,60,3588,f,0,1,CALIN,ARS,K!!!L,Transcription
82845,c_6369,60,3588,f,0,1,CALIN,ARS,K!!!L,"Replication, recombination and repair"
84358,c_6477,125,1079,f,0,1,In0,ARS,L,"Replication, recombination and repair"
91958,c_7151,1,460,f,1,1,CALIN,ARS,K,Transcription
92008,c_7151,48279,48582,f,0,1,CALIN,ARS,X,"Mobilome: prophages, transposons"
92009,c_7151,48678,48972,r,0,1,CALIN,ARS,V,Defense mechanisms
92010,c_7151,48971,49268,r,0,1,CALIN,ARS,V,Defense mechanisms
180973,c_15646,4880,5834,r,0,1,In0,ARS,L,"Replication, recombination and repair"
184138,c_15980,2,650,f,1,1,CALIN,ARS,T,Signal transduction mechanisms
184139,c_15980,733,1789,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
184140,c_15980,1900,3304,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
184141,c_15980,3296,4559,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
214616,c_19210,24284,25967,f,0,1,CALIN,ARS,V,Defense mechanisms
214618,c_19210,26349,27072,r,0,1,CALIN,ARS,F,Nucleotide transport and metabolism
231735,c_21159,0,165,r,1,1,CALIN,ARS,J,"Translation, ribosomal structure and biogenesis"
231737,c_21159,375,1134,r,0,1,CALIN,ARS,H,Coenzyme transport and metabolism
231740,c_21159,3406,3850,r,0,1,CALIN,ARS,H,Coenzyme transport and metabolism
231741,c_21159,3908,4478,r,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
241254,c_22255,2749,3169,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
241255,c_22255,3379,4774,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
241256,c_22255,4900,5464,f,0,1,CALIN,ARS,R,General function prediction only
252633,c_23662,4142,4499,f,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
252635,c_23662,5352,6162,f,0,1,CALIN,ARS,R!!!N,General function prediction only
252635,c_23662,5352,6162,f,0,1,CALIN,ARS,R!!!N,Cell motility
265009,c_25076,4668,5607,r,0,1,CALIN,ARS,R,General function prediction only
265011,c_25076,6948,7281,r,0,1,CALIN,ARS,H!!!R,Coenzyme transport and metabolism
265011,c_25076,6948,7281,r,0,1,CALIN,ARS,H!!!R,General function prediction only
265012,c_25076,7264,8032,r,0,1,CALIN,ARS,H!!!R,Coenzyme transport and metabolism
265012,c_25076,7264,8032,r,0,1,CALIN,ARS,H!!!R,General function prediction only
265013,c_25076,8206,8623,f,0,1,CALIN,ARS,S,Function unknown
267137,c_25345,1847,3860,f,0,1,CALIN,ARS,X,"Mobilome: prophages, transposons"
330677,c_32192,2,935,r,1,1,complete,ARS,M,Cell wall/membrane/envelope biogenesis
330683,c_32192,3532,4501,r,0,1,complete,ARS,L,"Replication, recombination and repair"
368701,c_34676,152,887,r,0,1,CALIN,ARS,S,Function unknown
368703,c_34676,1431,1728,r,0,1,CALIN,ARS,V,Defense mechanisms
368704,c_34676,1727,2006,r,0,1,CALIN,ARS,V,Defense mechanisms
381488,c_35532,2066,2312,r,0,1,CALIN,ARS,V,Defense mechanisms
381489,c_35532,2327,2519,r,0,1,CALIN,ARS,R,General function prediction only
381491,c_35532,3320,3884,r,0,1,CALIN,ARS,I,Lipid transport and metabolism
381596,c_35537,4883,5207,r,0,1,CALIN,ARS,E!!!F,Amino acid transport and metabolism
381596,c_35537,4883,5207,r,0,1,CALIN,ARS,E!!!F,Nucleotide transport and metabolism
417103,c_37969,21001,21652,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
432469,c_39047,2,152,r,1,1,complete,ARS,J!!!O,"Translation, ribosomal structure and biogenesis"
432469,c_39047,2,152,r,1,1,complete,ARS,J!!!O,"Posttranslational modification, protein turnover, chaperones"
432472,c_39047,1064,2033,f,0,1,complete,ARS,L,"Replication, recombination and repair"
432478,c_39047,6742,7345,f,1,1,complete,ARS,H,Coenzyme transport and metabolism
452342,c_40535,39118,40204,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
462156,c_41251,9359,10328,r,0,1,In0,ARS,L,"Replication, recombination and repair"
467497,c_41673,2,215,f,1,1,CALIN,ARS,I,Lipid transport and metabolism
467499,c_41673,1406,2381,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
467502,c_41673,4164,5469,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
472879,c_42101,3269,5522,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
491992,c_43666,2094,2550,r,0,1,complete,ARS,R,General function prediction only
491997,c_43666,4739,5702,f,0,1,complete,ARS,L,"Replication, recombination and repair"
539975,c_47794,2,479,r,1,1,CALIN,ARS,E,Amino acid transport and metabolism
546575,c_48351,7500,9375,f,0,1,CALIN,ARS,T,Signal transduction mechanisms
555188,c_49089,43634,45524,f,0,1,CALIN,ARS,L,"Replication, recombination and repair"
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,K!!!N!!!W,Transcription
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,K!!!N!!!W,Cell motility
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,K!!!N!!!W,Extracellular structures
558400,c_49381,2,707,r,1,1,complete,ARS,L,"Replication, recombination and repair"
560673,c_49588,183,924,f,0,1,In0,ARS,L,"Replication, recombination and repair"
561580,c_49656,933,1893,r,0,1,In0,ARS,L,"Replication, recombination and repair"
568059,c_50242,5482,6451,r,0,1,complete,ARS,L,"Replication, recombination and repair"
568063,c_50242,7915,8332,f,0,1,complete,ARS,J,"Translation, ribosomal structure and biogenesis"
568066,c_50242,9391,11272,f,0,1,complete,ARS,U,"Intracellular trafficking, secretion, and vesicular transport"
568069,c_50242,12463,12862,f,0,1,complete,ARS,S,Function unknown
568070,c_50242,12941,13397,f,0,1,complete,ARS,R,General function prediction only
572187,c_50548,4265,4895,f,0,1,CALIN,ARS,C,Energy production and conversion
572189,c_50548,5531,7154,r,0,1,CALIN,ARS,J,"Translation, ribosomal structure and biogenesis"
575050,c_50772,5584,6094,f,0,1,CALIN,ARS,K,Transcription
577432,c_50953,35393,35636,f,0,1,CALIN,ARS,K,Transcription
577433,c_50953,35620,35962,f,0,1,CALIN,ARS,V,Defense mechanisms
577434,c_50953,36086,36866,f,0,1,CALIN,ARS,H,Coenzyme transport and metabolism
581574,c_51361,3626,4349,r,0,1,CALIN,ARS,T!!!K,Signal transduction mechanisms
581574,c_51361,3626,4349,r,0,1,CALIN,ARS,T!!!K,Transcription
581575,c_51361,4453,5707,r,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
581576,c_51361,5889,6786,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
583303,c_51540,5137,5776,r,0,1,CALIN,ARS,V!!!T,Defense mechanisms
583303,c_51540,5137,5776,r,0,1,CALIN,ARS,V!!!T,Signal transduction mechanisms
584626,c_51672,6493,9496,f,0,1,CALIN,ARS,P,Inorganic ion transport and metabolism
584627,c_51672,9591,10914,f,1,1,CALIN,ARS,G,Carbohydrate transport and metabolism
584740,c_51685,3391,3805,r,0,1,CALIN,ARS,V,Defense mechanisms
584742,c_51685,4933,5413,f,0,1,CALIN,ARS,H!!!C,Coenzyme transport and metabolism
584742,c_51685,4933,5413,f,0,1,CALIN,ARS,H!!!C,Energy production and conversion
590574,c_52223,1375,2338,f,0,1,complete,ARS,L,"Replication, recombination and repair"
599084,c_52991,2323,3004,f,0,1,CALIN,ARS,J,"Translation, ribosomal structure and biogenesis"
600872,c_53196,2596,3199,r,0,1,CALIN,ARS,C,Energy production and conversion
605794,c_53655,2776,3151,r,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
608335,c_53832,46894,47218,r,0,1,CALIN,ARS,R,General function prediction only
608338,c_53832,48752,49838,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
608340,c_53832,50176,50680,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
635575,c_55857,3275,4106,f,0,1,CALIN,ARS,V,Defense mechanisms
635578,c_55857,5344,5683,f,1,1,CALIN,ARS,S,Function unknown
641616,c_56321,194893,195175,f,0,1,CALIN,ARS,V,Defense mechanisms
641617,c_56321,195185,195482,f,0,1,CALIN,ARS,V,Defense mechanisms
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,E!!!R!!!L,Amino acid transport and metabolism
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,E!!!R!!!L,General function prediction only
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,E!!!R!!!L,"Replication, recombination and repair"
653173,c_57232,4977,6285,f,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
655845,c_57442,182267,183407,f,0,1,CALIN,ARS,S,Function unknown
655849,c_57442,187476,188112,f,0,1,CALIN,ARS,L,"Replication, recombination and repair"
661219,c_57836,1105,1888,r,0,1,CALIN,ARS,R,General function prediction only
661220,c_57836,1884,2685,r,0,1,CALIN,ARS,R,General function prediction only
661221,c_57836,2779,3772,r,0,1,CALIN,ARS,R,General function prediction only
671431,c_58668,27314,28160,r,0,1,complete,ARS,L,"Replication, recombination and repair"
671434,c_58668,29802,30168,f,0,1,complete,ARS,S,Function unknown
673212,c_58825,3203,5705,r,1,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
677325,c_59173,2,668,f,1,1,CALIN,ARS,P!!!R,Inorganic ion transport and metabolism
677325,c_59173,2,668,f,1,1,CALIN,ARS,P!!!R,General function prediction only
764825,c_69696,1335,2583,f,0,1,CALIN,ARS,R,General function prediction only
764826,c_69696,2735,3533,f,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
764827,c_69696,3708,3951,f,0,1,CALIN,ARS,V,Defense mechanisms
764828,c_69696,3947,4211,f,0,1,CALIN,ARS,V,Defense mechanisms
764829,c_69696,4297,5299,r,0,1,CALIN,ARS,K,Transcription
786471,c_71176,4229,4718,r,0,1,CALIN,ARS,T,Signal transduction mechanisms
787096,c_71224,1263,1566,r,0,1,CALIN,ARS,P!!!C,Inorganic ion transport and metabolism
787096,c_71224,1263,1566,r,0,1,CALIN,ARS,P!!!C,Energy production and conversion
792007,c_71584,52590,52971,r,0,1,CALIN,ARS,E,Amino acid transport and metabolism
793498,c_71714,5745,7524,r,0,1,CALIN,ARS,R,General function prediction only
793499,c_71714,7516,8836,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
793500,c_71714,8842,10831,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
801448,c_72349,1004,1541,f,0,1,CALIN,ARS,F,Nucleotide transport and metabolism
802247,c_72431,4889,5915,r,0,1,CALIN,ARS,V,Defense mechanisms
802248,c_72431,6062,7580,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
804034,c_72589,4235,4904,f,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
804037,c_72589,5535,5871,f,0,1,CALIN,ARS,R,General function prediction only
804038,c_72589,5954,7130,r,0,1,CALIN,ARS,R,General function prediction only
807707,c_72894,7587,8082,r,0,1,CALIN,ARS,E,Amino acid transport and metabolism
807709,c_72894,8988,9234,r,0,1,CALIN,ARS,S,Function unknown
807711,c_72894,9372,9786,r,0,1,CALIN,ARS,S,Function unknown
807712,c_72894,9922,10360,r,0,1,CALIN,ARS,J,"Translation, ribosomal structure and biogenesis"
808087,c_72916,2662,2962,r,0,1,CALIN,ARS,V,Defense mechanisms
808088,c_72916,3391,3652,r,0,1,CALIN,ARS,V,Defense mechanisms
808089,c_72916,3644,3899,r,0,1,CALIN,ARS,V,Defense mechanisms
808252,c_72931,1366,2728,r,0,1,CALIN,ARS,F!!!R,Nucleotide transport and metabolism
808252,c_72931,1366,2728,r,0,1,CALIN,ARS,F!!!R,General function prediction only
808253,c_72931,2889,3684,r,0,1,CALIN,ARS,H!!!R,Coenzyme transport and metabolism
808253,c_72931,2889,3684,r,0,1,CALIN,ARS,H!!!R,General function prediction only
808254,c_72931,3722,4028,r,0,1,CALIN,ARS,E,Amino acid transport and metabolism
815094,c_73513,61023,61509,r,1,1,In0,ARS,L,"Replication, recombination and repair"
825997,c_74758,2,1181,f,1,1,CALIN,ARS,E,Amino acid transport and metabolism
825998,c_74758,1152,2415,r,0,1,CALIN,ARS,C,Energy production and conversion
848636,c_77263,1855,2794,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
848638,c_77263,3493,4489,r,0,1,CALIN,ARS,G,Carbohydrate transport and metabolism
863287,c_78652,1211,2147,r,0,1,CALIN,ARS,L,"Replication, recombination and repair"
863292,c_78652,3830,4958,r,0,1,CALIN,ARS,J,"Translation, ribosomal structure and biogenesis"
868374,c_79165,6712,7543,f,0,1,CALIN,ARS,M,Cell wall/membrane/envelope biogenesis
869400,c_79272,203,962,r,0,1,CALIN,ARS,N!!!U,Cell motility
869400,c_79272,203,962,r,0,1,CALIN,ARS,N!!!U,"Intracellular trafficking, secretion, and vesicular transport"
