gene_callers_id,pnps,COG_accession,COG_category,sample_id,bin,ocean,depth,total_pnps,rank
ERR315856,MED-668,MED,DCM,60550,3.8967608162778182,,,148,2722
ERR315856,MED-668,MED,DCM,61659,0.8183343962640095,Q,"Secondary metabolites biosynthesis, transport and catabolism",1224,2722
ERR315856,MED-668,MED,DCM,61661,0.9174475299621122,E,Amino acid transport and metabolism,1089,2722
ERR315856,MED-698,MED,DCM,283605,0.2591713439785609,N,Cell motility,946,1671
ERR315856,MED-698,MED,DCM,283607,0.025427781478877042,N,Cell motility,1612,1671
ERR315856,MED-698,MED,DCM,283608,0.06255364104643088,N,Cell motility,1514,1671
ERR315857,MED-668,MED,SRF,60550,1.3952919783779154,,,18,514
ERR315858,MED-592,MED,SRF,86666,0.11170695210254383,X,"Mobilome: prophages, transposons",17,19
ERR315859,MED-592,MED,DCM,86666,0.1225309592269554,X,"Mobilome: prophages, transposons",8,17
ERR315860,MED-592,MED,DCM,86666,0.12265996163476828,X,"Mobilome: prophages, transposons",7,15
ERR315861,MED-592,MED,SRF,86666,0.11911329086825898,X,"Mobilome: prophages, transposons",14,19
ERR594288,MED-668,MED,SRF,60550,2.447308116441654,,,2,129
ERR594312,ARS-1037,ARS,MES,15587,0.11793497121213302,X,"Mobilome: prophages, transposons",1119,2136
ERR594312,ARS-112,ARS,MES,131141,1.218788806324254,,,62,188
ERR594312,ARS-5,ARS,MES,77107,0.17008994532542998,,,48,160
ERR594312,ARS-5,ARS,MES,77110,0.2496144587898521,,,31,160
ERR594312,ARS-5,ARS,MES,77112,0.18138593029684494,,,43,160
ERR594315,MED-870,MED,DCM,125810,0.027587940480779446,L,"Replication, recombination and repair",52,78
ERR594329,MED-870,MED,DCM,125810,0.011949639134824285,L,"Replication, recombination and repair",1164,1338
ERR594329,MED-870,MED,DCM,125811,0.03028246359363015,M,Cell wall/membrane/envelope biogenesis,862,1338
ERR594329,MED-870,MED,DCM,125812,0.5943252298011779,R,General function prediction only,18,1338
ERR594329,MED-870,MED,DCM,125813,0.05163801473233924,,,579,1338
ERR594345,ARS-1037,ARS,MES,15587,0.08574443362212719,X,"Mobilome: prophages, transposons",6,9
ERR594345,ARS-5,ARS,MES,77107,0.17410505763780046,,,20,41
ERR594346,ARS-1037,ARS,MES,15587,0.08310650376111417,X,"Mobilome: prophages, transposons",361,723
ERR594359,EAC-102,EAC,SRF,18024,0.03163317002247265,X,"Mobilome: prophages, transposons",495,709
ERR594359,EAC-44,EAC,SRF,134010,0.05790135734535061,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,441,1244
ERR594361,EAC-102,EAC,SRF,18024,0.03039451223473214,X,"Mobilome: prophages, transposons",534,724
ERR594361,EAC-44,EAC,SRF,134010,0.0,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,1092,1240
ERR594362,EAC-102,EAC,SRF,18024,0.033485193046974865,X,"Mobilome: prophages, transposons",336,426
ERR594362,EAC-50,EAC,SRF,278793,0.07698818847366709,X,"Mobilome: prophages, transposons",9,21
ERR594382,EAC-102,EAC,DCM,18024,0.035944363896833184,X,"Mobilome: prophages, transposons",77,103
ERR594382,EAC-39,EAC,DCM,485,0.05195719705651565,L,"Replication, recombination and repair",175,276
ERR594389,EAC-102,EAC,DCM,18024,0.032392170438966035,X,"Mobilome: prophages, transposons",540,745
ERR594389,EAC-52,EAC,DCM,143645,0.0864420165850256,,,5,15
ERR594392,EAC-47,EAC,SRF,241232,0.7232926851202309,J!!!O,"Posttranslational modification, protein turnover, chaperones",19,1197
ERR594392,EAC-47,EAC,SRF,244110,0.12009584850028747,V,Defense mechanisms,256,1197
ERR594392,EAC-50,EAC,SRF,276751,0.8673802247862672,,,5,216
ERR594392,EAC-50,EAC,SRF,276767,0.025663039981706787,C,Energy production and conversion,150,216
ERR594392,EAC-50,EAC,SRF,278286,0.004743147664428598,V,Defense mechanisms,185,216
ERR594392,EAC-50,EAC,SRF,278793,0.0528383437523462,X,"Mobilome: prophages, transposons",110,216
ERR594392,EAC-69,EAC,SRF,158011,0.06619778990394384,K,Transcription,28,46
ERR594405,MED-592,MED,DCM,86666,0.0993535671252863,X,"Mobilome: prophages, transposons",9,20
ERR594405,MED-668,MED,DCM,60550,0.7342678010049281,,,3,266
ERR594405,MED-697,MED,DCM,363039,0.031356992776055144,,,3,3
ERR594408,MED-668,MED,DCM,60550,2.16935235758056,,,1,11
ERR594414,EAC-102,EAC,DCM,18024,0.03041113622634105,X,"Mobilome: prophages, transposons",67,83
ERR594414,EAC-39,EAC,DCM,485,0.0,L,"Replication, recombination and repair",248,266
ERR594414,EAC-39,EAC,DCM,4745,0.05541331184163397,K,Transcription,175,266
ERR594414,EAC-39,EAC,DCM,4746,0.0,,,248,266
