gene_callers_id,pnps,COG_accession,COG_category,sample_id,bin,ocean,depth,rank,total_pnps
60550,3.8967608162778182,,,ERR315856,MED-668,MED,DCM,148,2722
61659,0.8183343962640095,Q,"Secondary metabolites biosynthesis, transport and catabolism",ERR315856,MED-668,MED,DCM,1224,2722
61661,0.9174475299621122,E,Amino acid transport and metabolism,ERR315856,MED-668,MED,DCM,1089,2722
283605,0.2591713439785609,N,Cell motility,ERR315856,MED-698,MED,DCM,946,1671
283607,0.025427781478877042,N,Cell motility,ERR315856,MED-698,MED,DCM,1612,1671
283608,0.06255364104643088,N,Cell motility,ERR315856,MED-698,MED,DCM,1514,1671
60550,1.3952919783779154,,,ERR315857,MED-668,MED,SRF,18,514
86666,0.11170695210254383,X,"Mobilome: prophages, transposons",ERR315858,MED-592,MED,SRF,17,19
86666,0.1225309592269554,X,"Mobilome: prophages, transposons",ERR315859,MED-592,MED,DCM,8,17
86666,0.12265996163476828,X,"Mobilome: prophages, transposons",ERR315860,MED-592,MED,DCM,7,15
86666,0.11911329086825898,X,"Mobilome: prophages, transposons",ERR315861,MED-592,MED,SRF,14,19
60550,2.447308116441654,,,ERR594288,MED-668,MED,SRF,2,129
15587,0.11793497121213302,X,"Mobilome: prophages, transposons",ERR594312,ARS-1037,ARS,MES,1119,2136
131141,1.218788806324254,,,ERR594312,ARS-112,ARS,MES,62,188
77107,0.17008994532542998,,,ERR594312,ARS-5,ARS,MES,48,160
77110,0.2496144587898521,,,ERR594312,ARS-5,ARS,MES,31,160
77112,0.18138593029684494,,,ERR594312,ARS-5,ARS,MES,43,160
125810,0.027587940480779446,L,"Replication, recombination and repair",ERR594315,MED-870,MED,DCM,52,78
125810,0.011949639134824285,L,"Replication, recombination and repair",ERR594329,MED-870,MED,DCM,1164,1338
125811,0.03028246359363015,M,Cell wall/membrane/envelope biogenesis,ERR594329,MED-870,MED,DCM,862,1338
125812,0.5943252298011779,R,General function prediction only,ERR594329,MED-870,MED,DCM,18,1338
125813,0.05163801473233924,,,ERR594329,MED-870,MED,DCM,579,1338
15587,0.08574443362212719,X,"Mobilome: prophages, transposons",ERR594345,ARS-1037,ARS,MES,6,9
77107,0.17410505763780046,,,ERR594345,ARS-5,ARS,MES,20,41
15587,0.08310650376111417,X,"Mobilome: prophages, transposons",ERR594346,ARS-1037,ARS,MES,361,723
18024,0.03163317002247265,X,"Mobilome: prophages, transposons",ERR594359,EAC-102,EAC,SRF,495,709
134010,0.05790135734535061,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,ERR594359,EAC-44,EAC,SRF,441,1244
18024,0.03039451223473214,X,"Mobilome: prophages, transposons",ERR594361,EAC-102,EAC,SRF,534,724
134010,0.0,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,ERR594361,EAC-44,EAC,SRF,1092,1240
18024,0.033485193046974865,X,"Mobilome: prophages, transposons",ERR594362,EAC-102,EAC,SRF,336,426
278793,0.07698818847366709,X,"Mobilome: prophages, transposons",ERR594362,EAC-50,EAC,SRF,9,21
18024,0.035944363896833184,X,"Mobilome: prophages, transposons",ERR594382,EAC-102,EAC,DCM,77,103
485,0.05195719705651565,L,"Replication, recombination and repair",ERR594382,EAC-39,EAC,DCM,175,276
18024,0.032392170438966035,X,"Mobilome: prophages, transposons",ERR594389,EAC-102,EAC,DCM,540,745
143645,0.0864420165850256,,,ERR594389,EAC-52,EAC,DCM,5,15
241232,0.7232926851202309,J!!!O,"Posttranslational modification, protein turnover, chaperones",ERR594392,EAC-47,EAC,SRF,19,1197
244110,0.12009584850028747,V,Defense mechanisms,ERR594392,EAC-47,EAC,SRF,256,1197
276751,0.8673802247862672,,,ERR594392,EAC-50,EAC,SRF,5,216
276767,0.025663039981706787,C,Energy production and conversion,ERR594392,EAC-50,EAC,SRF,150,216
278286,0.004743147664428598,V,Defense mechanisms,ERR594392,EAC-50,EAC,SRF,185,216
278793,0.0528383437523462,X,"Mobilome: prophages, transposons",ERR594392,EAC-50,EAC,SRF,110,216
158011,0.06619778990394384,K,Transcription,ERR594392,EAC-69,EAC,SRF,28,46
86666,0.0993535671252863,X,"Mobilome: prophages, transposons",ERR594405,MED-592,MED,DCM,9,20
60550,0.7342678010049281,,,ERR594405,MED-668,MED,DCM,3,266
363039,0.031356992776055144,,,ERR594405,MED-697,MED,DCM,3,3
60550,2.16935235758056,,,ERR594408,MED-668,MED,DCM,1,11
18024,0.03041113622634105,X,"Mobilome: prophages, transposons",ERR594414,EAC-102,EAC,DCM,67,83
485,0.0,L,"Replication, recombination and repair",ERR594414,EAC-39,EAC,DCM,248,266
4745,0.05541331184163397,K,Transcription,ERR594414,EAC-39,EAC,DCM,175,266
4746,0.0,,,ERR594414,EAC-39,EAC,DCM,248,266
4747,0.2889200331184625,L,"Replication, recombination and repair",ERR594414,EAC-39,EAC,DCM,25,266
133198,0.1793063721595429,V,Defense mechanisms,ERR598942,NP-2,NP,DCM,1,8
433399,0.0008022619878255285,K,Transcription,ERR598944,NAT-101,NAT,MES,1212,1252
433400,1.7938163190632963,,,ERR598944,NAT-101,NAT,MES,9,1252
433401,0.05985806284236825,,,ERR598944,NAT-101,NAT,MES,901,1252
395897,0.2127647629825551,Q,"Secondary metabolites biosynthesis, transport and catabolism",ERR598944,NAT-30,NAT,MES,42,232
291070,0.16575503857821916,V,Defense mechanisms,ERR598947,SAT-109,SAT,MES,2,7
128401,0.0648986334754984,P,Inorganic ion transport and metabolism,ERR598947,SAT-1462,SAT,MES,589,2011
128402,0.013529836044774238,M,Cell wall/membrane/envelope biogenesis,ERR598947,SAT-1462,SAT,MES,1501,2011
