contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599100,pnps_ERR598958,pnps_ERR598955,pnps_ERR598983,pnps_ERR599170,pnps_ERR598963,pnps_ERR598964,pnps_ERR599003,pnps_ERR599136,pnps_ERR599001,pnps_ERR598985,pnps_ERR598996,pnps_ERR599095,pnps_ERR598944,pnps_ERR598976,pnps_ERR599047,pnps_ERR599029,pnps_ERR599123,pnps_ERR598968,pnps_ERR598986,pnps_ERR599166,pnps_ERR598950,pnps_ERR599078
c_MHASMcontig_3239,NAT,9173,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,0.02419305354639597,,,,,,,,,,,,
c_MHASMcontig_3239,NAT,9174,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,0.031429020026584674,,,,,,,,,,,,
c_MHASMcontig_3239,NAT,9175,integron,,,,,,,,,,,,,,1.6008137411821541,,,,,,,,,,,
c_MHASMcontig_9680,NAT,18988,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,0.09986098539400888,,0.055605614406583535,,,,,,,,
c_MHASMcontig_9680,NAT,18989,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,0.056609230050499525,,0.05775443446403077,,,,,,,,
c_MHASMcontig_13146,NAT,24171,non-integron,,,,,,,,,,,,,,,0.05409653218768496,,,,,,,,,,
c_MHASMcontig_13146,NAT,24172,integron,,,,,,,,,,,,,,,0.298269813457406,,,,,,,,,,
c_MHASMcontig_13146,NAT,24174,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,0.09420135443307738,,,,,,,,,,
c_MHASMcontig_17558,NAT,31275,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,0.0,,
c_MHASMcontig_20946,NAT,36496,integron,I,Lipid transport and metabolism,,,0.0694457235693267,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_20946,NAT,36497,integron,H,Coenzyme transport and metabolism,,,0.12019949279586092,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_20946,NAT,36498,integron,V,Defense mechanisms,,,0.11601800389112595,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_20946,NAT,36499,non-integron,C,Energy production and conversion,,,0.0019703465621746428,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_38563,NAT,62905,non-integron,I,Lipid transport and metabolism,,,,0.03989512845810295,,,,,,0.0,,,0.013216648151336838,,,,,,,,,,0.0
c_MHASMcontig_38563,NAT,62906,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,0.015716941056135712,,,,,,0.02677199145430954,,,0.0,,,,,,,,,,0.003683912611730285
c_MHASMcontig_38563,NAT,62907,non-integron,P,Inorganic ion transport and metabolism,,,,0.059727535743703625,,,,,,0.0,,,0.043647047916459146,,,,,,,,,,0.007951939042697878
c_MHASMcontig_51134,NAT,82328,non-integron,I,Lipid transport and metabolism,,,,,0.08564567772919511,0.2519435923955167,,,,0.0970257787479283,,0.1325815964005609,0.17362316867281485,,,,,,0.15500139706098334,0.07481790006285602,,,0.08061048242467488
c_MHASMcontig_51134,NAT,82329,non-integron,E,Amino acid transport and metabolism,,0.06141470205584103,,,0.05596059324763141,0.06692126822689694,,,,0.05501557885031027,,0.0579637030755986,0.1130408886963841,0.14379743946163304,0.16050611429646505,,,0.08553968337999804,0.08941470821776623,0.03439380900108559,,,0.04489746110248463
c_MHASMcontig_51134,NAT,82330,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,0.07903782802189636,0.10665285981583758,,,,0.2305556194932245,,0.11487221050279114,0.09051455642342324,,,,,0.13171785253600726,0.07001185678792539,0.2379454606302119,,,0.19495943765645735
c_MHASMcontig_51134,NAT,82331,integron,E,Amino acid transport and metabolism,0.3974693904190624,,,,0.048373172300200135,0.07015220560461972,,,0.13299191237374025,0.030954518578187745,,0.05026409956375279,0.027495712660816348,,0.04063961160242574,,,0.06066233748894665,0.04950302167578652,0.0433853029369982,,,0.010615256948115366
c_MHASMcontig_51134,NAT,82332,integron,E,Amino acid transport and metabolism,,,,,0.3434260176655386,0.19833145390774398,,,,0.2908611528008789,,0.19958567833620736,0.17560426619150835,,,,,,0.20748494959667488,0.4131979004179382,,,0.15309218632192714
