contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR598952,pnps_ERR599007,pnps_ERR598997,pnps_ERR599132,pnps_ERR599346,pnps_ERR594404,pnps_ERR599064,pnps_ERR599128,pnps_ERR598994,pnps_ERR594395,pnps_ERR599055,pnps_ERR599067,pnps_ERR599065,pnps_ERR599168,pnps_ERR594325,pnps_ERR598978,pnps_ERR599144,pnps_ERR599118,pnps_ERR599353,pnps_ERR598965,pnps_ERR599108,pnps_ERR598943,pnps_ERR598971,pnps_ERR599349,pnps_ERR594313,pnps_ERR598962
c_144,CPC,2214,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,0.039605367051809996,,,,,,,,,,,0.04304494928839221,,,
c_144,CPC,2215,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,0.06126068607414506,,,
c_144,CPC,2227,non-integron,X!!!X,"Mobilome: prophages, transposons!!!Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,0.08122044917257676,,,0.15063538551468744,,,
c_144,CPC,2228,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,0.16682470890148632,,,
c_264,CPC,4138,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,0.1924659527198764,,,,,,
c_264,CPC,4143,non-integron,,,,,,,,,0.07046719463188274,,,,,,,,,,,,,0.10599851730772407,,,,,,
c_264,CPC,4146,non-integron,C,Energy production and conversion,,,,,,,0.0772066260120804,,,,,,,,,,,,,0.049272846368713694,,,,,,
c_264,CPC,4147,non-integron,P,Inorganic ion transport and metabolism,,,,,,,0.13964472556854776,,,,,,,,,,,,,,,,,,,
c_264,CPC,4148,non-integron,T,Signal transduction mechanisms,,,,,,,0.014008415891788828,,,,,,,,,,,,,,,,,,,
c_264,CPC,4152,non-integron,S,Function unknown,,,,,,,0.016281963597656858,,,,,,,,,,,,,0.035068976018665717,,,,,,
c_264,CPC,4153,non-integron,C!!!R,Energy production and conversion!!!General function prediction only,,,,,,,0.14100209136168446,,,,,,,,,,,,,0.07325775941133622,,,,,,
c_264,CPC,4154,non-integron,K,Transcription,,,,,,,0.017949607410598003,,,,,,,,,,,,,0.007285981580276295,,,,,,
c_836,CPC,14065,non-integron,S,Function unknown,,,,,,,0.03921397219241204,,,,,,,,,,,,,0.031574021973099164,,,,,,
c_836,CPC,14067,integron,,,,,,,,,,,,,,,,,,,,,,,,,0.051553003654396634,,,
c_836,CPC,14068,integron,,,,,,,,,0.2684329235675305,,,,,,,,,,,,,0.3050514083761247,,,,,,
c_960,CPC,16532,non-integron,L,"Replication, recombination and repair",,,,,,,0.07123098782587743,,0.06014671387044285,,,,,,0.0715765979812322,,0.06514692629622701,,,0.07594050727066426,,,,,0.0859910726432586,
c_960,CPC,16533,non-integron,,,,,,,,,0.07226107226107224,,,,,,,,,,,,,0.06698893198052541,,,,,,
c_960,CPC,16534,non-integron,,,,,,,,,0.5863057538096949,,,,,,,,,,,,,,,,,,,
c_1154,CPC,20131,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,0.00679827658008881,,,,,,
c_1154,CPC,20132,non-integron,E!!!H,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,0.0857907218271367,,,,,,
c_1154,CPC,20133,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.023405654955167988,,,,,,
