contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599155,pnps_ERR598969,pnps_ERR599097,pnps_ERR599041,pnps_ERR599116,pnps_ERR599111,pnps_ERR599061,pnps_ERR599134,pnps_ERR598975,pnps_ERR598991,pnps_ERR599106,pnps_ERR599049,pnps_ERR598959,pnps_ERR594328
c_990,RS,20036,non-integron,P,Inorganic ion transport and metabolism,,,0.05257386275397481,,,0.1321801752967401,,,0.11179952282446293,,,,,
c_990,RS,20037,non-integron,,,,,0.4187472317658944,,,0.2279361584501557,,,0.2433037810025877,,,,,
c_990,RS,20038,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,0.2292599535458692,,,0.14627350880063406,,,0.157812061186224,,,,,
c_990,RS,20039,non-integron,G,Carbohydrate transport and metabolism,,,0.1165118072418797,,,0.06577155908895,,,0.06311931911419964,,,,,
c_990,RS,20040,non-integron,,,,,0.44721292671830015,,,0.8018858495532314,,,0.5989256291136265,,,,,
c_990,RS,20041,non-integron,E,Amino acid transport and metabolism,,,0.4061210439531163,,,0.2877626612736188,,,0.29144281813484224,,,,,
c_990,RS,20042,non-integron,,,,,0.03516861503032015,,,0.06447468493256336,,,0.06997972069282614,,,,,
c_990,RS,20043,non-integron,L,"Replication, recombination and repair",,,0.18916903409448352,,,0.1520127168216913,,,0.18000898786170394,,,,,
c_990,RS,20044,non-integron,L,"Replication, recombination and repair",,,0.07359602691725038,,,0.053825614552894564,,,0.058904317827535926,,,,,
c_990,RS,20045,non-integron,R,General function prediction only,,,0.050458523957470414,,,0.06835138634254126,,,0.06608809105243621,,,,,
c_990,RS,20046,non-integron,L,"Replication, recombination and repair",,,0.12658528995908236,,,0.11331317093832327,,,0.07282713299475811,,,,,
c_990,RS,20047,integron,L,"Replication, recombination and repair",,,0.03184742895873617,,,0.0606896678152189,,,0.060113317883660124,,,,,
c_990,RS,20048,non-integron,L,"Replication, recombination and repair",,,0.02788134537534117,,,0.018218280866989168,,,0.032875334115255464,,,,,
c_990,RS,20049,non-integron,L,"Replication, recombination and repair",,,0.08509023097467773,,,0.06728591596770182,,,0.06066068205233013,,,,,
c_7991,RS,132764,non-integron,J,"Translation, ribosomal structure and biogenesis",,,0.2732003511998232,,,0.3200452166379008,,,0.20094867083222814,,,,,
c_7991,RS,132765,integron,G,Carbohydrate transport and metabolism,,,0.0871623712798813,,,0.07745667525782504,,,0.08958806327309499,,,,,
c_7991,RS,132766,integron,P,Inorganic ion transport and metabolism,,,0.09914418861078446,,,0.0848069498273674,0.07264731315688684,,0.03729420548654625,,,,,
c_7991,RS,132767,integron,P!!!T,Inorganic ion transport and metabolism!!!Signal transduction mechanisms,,,0.06420791047039243,,,0.030650525237022393,,,0.22256265520384075,,,,,
c_7991,RS,132768,integron,M,Cell wall/membrane/envelope biogenesis,,,0.2776501416833779,,,0.22496621228864644,,,0.08747878270769661,,,,,
c_7991,RS,132769,non-integron,,,,,0.26424636832445675,,,0.1690197556505066,,,,,,,,
c_8762,RS,144398,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,0.0011943491153562475,,,,,,,,
c_8762,RS,144399,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,0.01869153490721252,,,,,,,,
c_8762,RS,144400,non-integron,K,Transcription,,,,,,0.020796475115848537,,,,,,,,
c_8762,RS,144401,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,0.015195984176809348,,,,,,,,
c_8762,RS,144403,non-integron,N,Cell motility,,,,,,0.05015353299573335,,,,,,,,
c_8762,RS,144405,non-integron,E,Amino acid transport and metabolism,,,,,,0.09270659657602924,,,,,,,,
c_8762,RS,144406,non-integron,,,,,,,,0.01938888921992477,,,,,,,,
c_8762,RS,144407,non-integron,L,"Replication, recombination and repair",,,,,,0.0,,,,,,,,
c_8762,RS,144408,integron,,,,,,,,0.044514430533562833,,,,,,,,
c_8762,RS,144409,integron,R,General function prediction only,,,,,,0.06656827793756473,,,,,,,,
c_16042,RS,238113,non-integron,,,,,,,,,,,,,,,,0.14941072384280538
c_17073,RS,249130,non-integron,J!!!L!!!K,"Translation, ribosomal structure and biogenesis!!!Replication, recombination and repair!!!Transcription",,,,,,,,,,0.023941942334831264,,0.04586055467782052,,
c_17073,RS,249131,non-integron,M,Cell wall/membrane/envelope biogenesis,,,0.0686405837150203,,0.0838796407991849,,,0.0955385765316841,,0.2307917483209381,0.04558015946204391,0.20657141228899184,0.15051936030799815,
c_17073,RS,249132,integron,E,Amino acid transport and metabolism,,,0.20938769783000008,,0.280661000600776,,,0.2869273896692679,,0.20529670171801148,0.15327857323703173,0.1831479267620567,0.19063300953914847,
c_17073,RS,249133,non-integron,E,Amino acid transport and metabolism,,,0.1778954950985445,,0.21960317598522802,,,0.1231324225857282,,0.2337735542588617,0.1888028896918488,0.22203329190023025,0.07907294756129203,
c_17073,RS,249134,non-integron,E,Amino acid transport and metabolism,,,0.18458288776492152,,0.1993418659690436,,,0.12253939179870445,,0.05354825741966776,,0.041572326264866365,0.04406789219782714,
c_17073,RS,249135,non-integron,E,Amino acid transport and metabolism,,,0.16210383821800636,,0.1329463232434293,,,0.27906314880386873,,0.17642649722720044,0.18173236204658136,0.2240894276990248,0.2651958869595767,
c_17073,RS,249136,non-integron,J,"Translation, ribosomal structure and biogenesis",,,0.0,,,,,,,0.0,,,,
c_17073,RS,249137,non-integron,K,Transcription,,,0.27227240514085466,,,,,,,0.7610591799583859,,0.43312154466141495,0.9261837080253568,
c_17073,RS,249138,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,0.6811281352265004,,,,
c_22914,RS,307707,non-integron,C,Energy production and conversion,,,,,0.006612975577312249,,,,,,0.002630568495869748,,,
c_22914,RS,307708,integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,0.09151331898786093,0.07137263014791675,0.05283047321113892,,,,,,0.068225096177025,,,
c_22914,RS,307709,integron,C,Energy production and conversion,,,0.01438721689660514,,0.010518816086571162,,,,,,0.009724694924107678,,,
c_22914,RS,307710,integron,O,"Posttranslational modification, protein turnover, chaperones",,,0.04387070176420679,0.042804247301334385,0.05867755828112393,,,,,,0.06538846965910737,,,
c_22914,RS,307711,integron,,,,,0.02262967809416515,0.07574868646160389,0.07062614908313566,,,,,,0.06574649575309592,,,
c_22914,RS,307712,non-integron,H,Coenzyme transport and metabolism,,,0.07514377944330959,,0.06423794387107347,,,,,,0.07279216310703232,,,
c_22914,RS,307713,non-integron,H!!!I,Coenzyme transport and metabolism!!!Lipid transport and metabolism,,,0.0614032986655322,0.3294815799513481,0.07499478026804114,,,,,,0.0944003681935574,,,
c_22914,RS,307714,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,0.15204208734504002,,0.051909059258907014,,,,,,0.05975073413292056,,,
c_22914,RS,307715,non-integron,,,,,0.0019156225583924031,,0.017031028635459692,,,,,,0.00444454485455409,,,
c_22914,RS,307716,non-integron,C!!!R,Energy production and conversion!!!General function prediction only,,,0.04806596247988773,,0.036604296469813835,,,,,,0.051514087253683935,,,
c_31979,RS,413929,non-integron,,,,,,,,,,,,,,,,0.0653946792083866
c_31979,RS,413944,non-integron,,,,,,,,,,,,,,,,0.00982224972618828
c_31979,RS,413945,non-integron,,,,,,,,,,,,,,,,0.036528267126354166
c_35932,RS,463513,non-integron,,,,,,,1.647515180342355,,,,,,,,,
c_35932,RS,463515,integron,F,Nucleotide transport and metabolism,,,,,0.38647548052424496,,,,,,,,,
c_35932,RS,463516,integron,,,,,,,0.04352916586003378,,,,,,,,,
c_35932,RS,463517,integron,V,Defense mechanisms,,,,,0.03555486976091838,,,,,,0.0,,,
c_35932,RS,463519,non-integron,,,,,,,0.33839457077699225,,,,,,0.3312668578834169,,,
c_35932,RS,463520,non-integron,,,,,,,0.5493024449692282,,,,,,,,,
c_35932,RS,463521,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,0.04348557383366495,,,,,,,,,
c_35932,RS,463522,non-integron,,,,,,,0.18874510444571774,,,,,,,,,
c_35932,RS,463523,non-integron,,,,,,,0.0,,,,,,,,,
c_35932,RS,463525,non-integron,,,,,,,0.0,,,,,,,,,
c_35932,RS,463527,non-integron,,,,,,,0.0704736335444484,,,,,,,,,
c_35932,RS,463529,non-integron,,,,,,,0.3153231737690425,,,,,,,,,
c_35932,RS,463533,non-integron,,,,,,,0.04718964996145585,,,,,,0.0,,,
c_35932,RS,463534,non-integron,L,"Replication, recombination and repair",,,,,0.10966888267078233,,,,,,0.24635094497953736,,,
c_35932,RS,463535,non-integron,,,,,,,0.5907272647812126,,,,,,,,,
c_35932,RS,463536,non-integron,,,,,,,0.07335646122855992,,,,,,0.08061771871569165,,,
c_35932,RS,463537,non-integron,M!!!D!!!T,"Cell wall/membrane/envelope biogenesis!!!Cell cycle control, cell division, chromosome partitioning!!!Signal transduction mechanisms",,,,,0.0,,,,,,,,,
c_35932,RS,463538,non-integron,K,Transcription,,,,,0.04030146545980712,,,,,,,,,
c_35932,RS,463543,non-integron,F,Nucleotide transport and metabolism,,,,,0.14003360124385342,,,,,,,,,
c_35932,RS,463544,non-integron,,,,,,,0.4910821295759372,,,,,,,,,
c_35932,RS,463547,non-integron,,,,,,,0.0470087204845829,,,,,,,,,
c_35932,RS,463550,non-integron,,,,,,,0.0,,,,,,,,,
c_35932,RS,463551,non-integron,,,,,,,1.0756047443579058,,,,,,,,,
c_35932,RS,463553,non-integron,,,,,,,2.308932596482804,,,,,,,,,
c_35932,RS,463554,non-integron,,,,,,,0.03971562965234407,,,,,,,,,
c_35932,RS,463556,non-integron,,,,,,0.1742305821306948,0.22212270741095028,,,,,,,,,
c_36755,RS,472249,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,0.2249486225700292,,,,,,,,
c_36755,RS,472250,non-integron,R,General function prediction only,,,,,,0.0,,,,,,,,
c_36755,RS,472256,integron,K,Transcription,,,,,,0.002011456512246913,,,,,,,,
c_36755,RS,472260,integron,X,"Mobilome: prophages, transposons",,,,,,0.06581209650227356,,,,,,,,
c_36866,RS,473297,non-integron,R,General function prediction only,,,,0.2012408299105296,0.13987991131467262,,,,,,0.16048407578098378,,,
c_36866,RS,473298,non-integron,R,General function prediction only,0.04273364741043999,0.026090220689871324,0.06958483081656737,0.037847311364526605,0.03400181157079586,,,,,,0.03644216043799964,0.06661886448080281,,
c_36866,RS,473299,non-integron,,,0.06093613404245087,0.05154446775666498,0.02566714873897574,0.05995056984150068,0.06371037351258471,,,0.09376651536533907,,0.05344621012625343,0.06360910388459469,0.054795214016487716,,0.0590271705655496
c_36866,RS,473300,non-integron,,,0.2417386455502561,0.38690499648134896,,0.20330871353096136,0.2239485904429098,,,,,,0.20928669055981744,,,
