gene_caller_id,pnps,gene_category,contig,start,stop,direction,COG20_CATEGORY,COG20_CATEGORY (ACCESSION),COG20_PATHWAY,COG20_PATHWAY (ACCESSION),COG20_FUNCTION,COG20_FUNCTION (ACCESSION)
4851,,protein_CALIN,k127_3344704,3331,4381,f,"Posttranslational modification, protein turnover, chaperones",O,,,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",COG0265
4852,0.064037289,protein_CALIN,k127_3344704,4486,5215,f,,,,,,
4853,,protein_CALIN,k127_3344704,5301,6072,f,,,,,,
4854,0.186409845,protein_CALIN,k127_3344704,6237,6393,r,,,,,,
6721,0.528013661,protein_CALIN,k127_2229975,1814,2501,f,,,,,,
9203,0.960792432,protein_CALIN,k127_2788453,2,272,r,,,,,,
9204,0.218102844,protein_CALIN,k127_2788453,955,2209,f,,,,,,
9205,1.874025103,protein_CALIN,k127_2788453,2364,3222,f,,,,,,
9206,0.432207883,protein_CALIN,k127_2788453,3425,4388,f,,,,,,
9207,0.640480707,protein_CALIN,k127_2788453,4536,5478,f,,,,,,
10460,0.294174928,protein_CALIN,k127_1520,295,559,f,,,,,,
10461,2.295719336,protein_CALIN,k127_1520,1224,1956,r,Transcription,K,,,"DNA-binding transcriptional regulator, FadR family (FadR) (PDB:1E2X)",COG2186
14731,0.699987111,protein_CALIN,k127_11149208,324,1005,r,,,,,,
14732,0.994323769,protein_CALIN,k127_11149208,1093,1375,r,,,,,,
14733,1.031882126,protein_CALIN,k127_11149208,1478,1859,r,,,,,,
14736,1.376362971,protein_CALIN,k127_11149208,4204,5506,r,"Posttranslational modification, protein turnover, chaperones",O,,,"C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)",COG0793
14737,0.442458698,protein_CALIN,k127_11149208,5702,5915,r,,,,,,
16986,0.227636915,protein_complete,k127_1117285,48364,49222,r,,,,,,
16987,0.680214734,protein_complete,k127_1117285,49314,50208,r,,,,,,
16988,1.085319987,protein_complete,k127_1117285,51393,51942,r,,,,,,
16989,1.317647985,protein_complete,k127_1117285,52708,53122,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
16990,0.572798132,intI_complete,k127_1117285,53121,53673,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
25810,1.224119493,protein_CALIN,k127_6692007,142,469,f,,,,,,
25811,0.812218541,protein_CALIN,k127_6692007,601,1027,f,,,,,,
25813,0.57849101,protein_CALIN,k127_6692007,2093,2468,f,,,,,,
60866,0.39809667,protein_CALIN,k127_1123927,719,986,f,,,,,,
60867,0.380773529,CALIN_toxin,k127_1123927,1078,1369,r,Defense mechanisms,V,,,"mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)",COG2026
60868,0.341505483,protein_CALIN,k127_1123927,1361,1583,r,,,,,,
60869,0.213641048,protein_CALIN,k127_1123927,1725,2208,f,,,,,,
68624,9.544668189,protein_CALIN,k127_1683145,1269,1728,r,,,,,,
