bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm
ARS-1,MES,97.19,9.64,70,31.21,60,"87,593","30,360","21,678",1.3,95.3,NCBI Assembly,NZES00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null,Hug et al. phylogenetic marker set,ARS,1375,0,11,0,0.008,tara039_bact_meso,1.337586171,tara039,bact,1,0.000727273
ARS-100,DCM,72.06,1.78,100,55.03,96,"72,109","21,801","18,695",1.79,95.52,NCBI Assembly,NZEQ00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,null,null,16S rRNA - SILVA SSURef128,ARS,1546,0,2,0,0.001293661,tara036_bact_dcm,2.484041077,tara036,bact,0,0
ARS-1004,SRF,72.61,3.89,15,41.8,99,"108,141","20,382","15,391",1.52,95.1,NCBI Assembly,NZEP00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_E,null,Hug et al. phylogenetic marker set,ARS,1431,0,12,0,0.008385744,tara039_girus_surface,2.093375568,tara039,girus,0,0
ARS-1009,SRF,80.9,9.11,32.14,38.74,138,"118,312","32,200","22,912",3.16,94.35,NCBI Assembly,NZEL00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,novelOrder_A,novelFamily_A,null,null,Hug et al. phylogenetic marker set,ARS,2496,0,2,0,0.000801282,tara038_prot_surface,3.90605686,tara038,prot,1,0.000400641
ARS-1012,SRF,91.25,6.81,62.5,52.91,121,"167,457","43,231","27,807",3.36,92.45,NCBI Assembly,NZEI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null,Hug et al. phylogenetic marker set,ARS,3149,0,3,0,0.000952683,tara038_prot_surface,3.682191781,tara038,prot,2,0.000635122
ARS-1018,MES,76.79,3.27,0,33.71,128,"88,473","17,833","14,825",1.9,94.61,NCBI Assembly,NZEE00000000,n.a.,n.a.,Archaea,null,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,2110,1,3,0.000473934,0.001421801,tara039_girus_meso,2.474280505,tara039,girus,0,0
ARS-1019,DCM,88.66,5.9,69.23,55.94,63,"111,961","51,072","35,876",2.26,91.34,NCBI Assembly,NZED00000000,n.a.,n.a.,Bacteria,Cyanobacteria,null,Synechoccales,Synechoccaceae,Synechococcus,null,Alternative phylogenetic marker set,ARS,2515,1,3,0.000397614,0.001192843,tara038_prot_dcm,2.549063839,tara038,prot,6,0.002385686
ARS-102,MES,84.03,0,0,34.55,20,"139,818","56,427","43,225",0.86,89.79,NCBI Assembly,NZEC00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,952,0,1,0,0.00105042,tara037_girus_meso,1.023444008,tara037,girus,0,0
ARS-1030,DCM,90.6,6.32,84.62,65.84,115,"107,664","29,545","22,821",2.62,94.32,NCBI Assembly,NZDT00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,null,Hug et al. phylogenetic marker set,ARS,2612,0,0,0,0,tara039_bact_dcm,2.89183223,tara039,bact,0,0
ARS-1032,MES,91.84,6.52,4.76,63.92,245,"81,462","21,107","17,599",4.31,91.46,NCBI Assembly,NZDS00000000,TARA_RED_MAG_00026,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null,Hug et al. phylogenetic marker set,ARS,4079,22,2,0.005393479,0.000490316,tara038_prot_meso,4.692944251,tara038,prot,4,0.000980633
