bin,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,percent_trans,Highest Relative Abundance,complete genome size (Mbp),tara_station,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot
ARS-1,97.19,9.64,70,31.21,60,"87,593","30,360","21,678",1.3,95.3,NCBI Assembly,NZES00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,,Hug et al. phylogenetic marker set,ARS,1375,0,11,0,tara039_bact_meso,1.337586171,tara039,1,0.0727273,18,1.3090909,17.29627823,0.830116578,71.18653396,0.830116578
ARS-100,72.06,1.78,100,55.03,96,"72,109","21,801","18,695",1.79,95.52,NCBI Assembly,NZEQ00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,,,16S rRNA - SILVA SSURef128,ARS,1546,0,2,0,tara036_bact_dcm,2.484041077,tara036,0,0,20,1.2936611,0.045102997,10.75019302,2.4039629,10.75019302
ARS-1004,72.61,3.89,15,41.8,99,"108,141","20,382","15,391",1.52,95.1,NCBI Assembly,NZEP00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_E,,Hug et al. phylogenetic marker set,ARS,1431,0,12,0,tara039_girus_surface,2.093375568,tara039,0,0,24,1.6771488,0.176490978,7.174866605,6.278305419,7.174866605
ARS-1009,80.9,9.11,32.14,38.74,138,"118,312","32,200","22,912",3.16,94.35,NCBI Assembly,NZEL00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,novelOrder_A,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,2496,0,2,0,tara038_prot_surface,3.90605686,tara038,1,0.0400641,43,1.7227564,4.14500303,0.636596322,13.08263049,0.636596322
ARS-1012,91.25,6.81,62.5,52.91,121,"167,457","43,231","27,807",3.36,92.45,NCBI Assembly,NZEI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,ARS,3149,0,3,0,tara038_prot_surface,3.682191781,tara038,2,0.0635122,81,2.5722452,0.774948721,1.345577225,5.169966054,1.345577225
ARS-1018,76.79,3.27,0,33.71,128,"88,473","17,833","14,825",1.9,94.61,NCBI Assembly,NZEE00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,2110,1,3,0.0473934,tara039_girus_meso,2.474280505,tara039,0,0,14,0.6635071,0.036236904,0.402635505,0.072338459,0.402635505
ARS-1019,88.66,5.9,69.23,55.94,63,"111,961","51,072","35,876",2.26,91.34,NCBI Assembly,NZED00000000,n.a.,n.a.,Bacteria,Cyanobacteria,,Synechoccales,Synechoccaceae,Synechococcus,,Alternative phylogenetic marker set,ARS,2515,1,3,0.0397614,tara038_prot_dcm,2.549063839,tara038,6,0.2385686,31,1.2326044,2.280257541,0.604637777,6.835735919,0.604637777
ARS-102,84.03,0,0,34.55,20,"139,818","56,427","43,225",0.86,89.79,NCBI Assembly,NZEC00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,952,0,1,0,tara037_girus_meso,1.023444008,tara037,0,0,9,0.9453782,0.313227862,1.79747095,2.791440431,1.79747095
ARS-1030,90.6,6.32,84.62,65.84,115,"107,664","29,545","22,821",2.62,94.32,NCBI Assembly,NZDT00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,,Hug et al. phylogenetic marker set,ARS,2612,0,0,0,tara039_bact_dcm,2.89183223,tara039,0,0,60,2.2970904,0.251951269,6.432244398,8.034987133,6.432244398
ARS-1032,91.84,6.52,4.76,63.92,245,"81,462","21,107","17,599",4.31,91.46,NCBI Assembly,NZDS00000000,TARA_RED_MAG_00026,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,4079,22,2,0.5393479,tara038_prot_meso,4.692944251,tara038,4,0.0980633,72,1.7651385,0.576884666,0.377009362,1.078318926,0.377009362
