magId,domain,phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,genomeSize,contigCount,N50,meanContigLen,minContigLen,maxContigLen,complete genome size (Mbp),is_tara
mp-deep_mag-0002,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp900107995,65.08,9.48,3413907,440,11202,7759,2026,54965,5.245708359,Deep_Malaspina
mp-deep_mag-0008,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA9659,undef,76.19,2.38,2884344,578,5681,4990,2004,21206,3.785725161,Deep_Malaspina
mp-deep_mag-0011,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,GCA-2718815,undef,95.91,3.45,6827226,478,35869,14283,2002,262447,7.118367219,Deep_Malaspina
mp-deep_mag-0013,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA823,UBA8106,UBA8106 sp003509065,92.68,2.66,2454194,44,290099,55777,2150,371026,2.64802978,Deep_Malaspina
mp-deep_mag-0015,Bacteria,Proteobacteria,Alphaproteobacteria,GCA-002720895,GCA-002720895,GCA-002720895,undef,55.3,2.41,610097,113,6835,5399,2013,20454,1.103249548,Deep_Malaspina
mp-deep_mag-0018,Bacteria,Chloroflexota,Dehalococcoidia,UBA2985,UBA2985,undef,undef,72.98,8.68,1951848,391,5988,4992,2000,40293,2.674497122,Deep_Malaspina
mp-deep_mag-0019,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Citromicrobium,Citromicrobium sp002377695,92.47,3.37,2780895,48,106017,57935,2025,375756,3.007348329,Deep_Malaspina
mp-deep_mag-0020,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobus,undef,63.12,5.63,1054802,270,4100,3907,2001,15029,1.67110583,Deep_Malaspina
mp-deep_mag-0021,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Zhongshania,Zhongshania sp002915595,96.12,0.98,3892758,20,282542,194638,16257,837605,4.049893883,Deep_Malaspina
mp-deep_mag-0023,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arabiensis,53.76,1.72,4049135,275,24488,14724,2030,89797,7.53187314,Deep_Malaspina
mp-deep_mag-0027,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,Fabibacter spongicola,99.05,0,4359799,7,1570526,622828,67511,1987543,4.401614336,Deep_Malaspina
mp-deep_mag-0028,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,Ketobacter,undef,97.78,0.93,5295526,37,337862,143122,2545,802395,5.415755778,Deep_Malaspina
