bin,signal_CAZ_count,total_CAZ_count,signal_peptidase_count,total_peptidase_count
TOBG_MED-806,17,75,64,75
TOBG_MED-728,25,132,65,132
TOBG_MED-652,5,34,15,34
TOBG_MED-850,8,77,19,77
TOBG_MED-827,2,31,6,31
TOBG_MED-1261,3,43,24,43
TOBG_MED-594,0,45,11,45
TOBG_MED-697,135,270,97,270
TOBG_MED-703,4,39,32,39
TOBG_MED-673,10,54,68,54
TOBG_MED-604,35,95,92,95
TOBG_MED-815,15,88,41,88
TOBG_MED-862,1,22,38,22
TOBG_MED-965,2,44,18,44
TOBG_MED-746,7,43,39,43
TOBG_MED-731,1,28,9,28
TOBG_MED-636,44,105,106,105
TOBG_MED-641,1,30,41,30
TOBG_MED-736,12,68,37,68
TOBG_MED-741,31,110,24,110
TOBG_MED-818,10,44,40,44
TOBG_MED-1223,0,16,11,16
TOBG_MED-704,11,42,43,42
TOBG_MED-690,17,83,38,83
TOBG_MED-609,16,60,53,60
TOBG_MED-779,15,59,42,59
TOBG_MED-797,6,78,14,78
TOBG_MED-603,32,91,82,91
TOBG_MED-674,7,83,19,83
TOBG_MED-820,0,56,21,56
TOBG_MED-857,16,58,56,58
TOBG_MED-599,23,100,50,100
TOBG_MED-593,6,60,12,60
TOBG_MED-950,2,25,9,25
TOBG_MED-655,94,144,77,144
TOBG_MED-622,23,64,70,64
TOBG_MED-725,6,50,19,50
TOBG_MED-752,6,55,37,55
TOBG_MED-1247,3,31,32,31
TOBG_MED-801,1,37,27,37
TOBG_MED-995,13,48,28,48
TOBG_MED-610,42,144,111,144
TOBG_MED-667,7,56,32,56
TOBG_MED-689,3,31,13,31
TOBG_MED-717,4,47,6,47
TOBG_MED-580,7,87,41,87
TOBG_MED-809,41,106,21,106
TOBG_MED-803,0,47,18,47
TOBG_MED-657,4,38,13,38
TOBG_MED-620,8,72,24,72
TOBG_MED-582,1,47,17,47
TOBG_MED-831,9,73,21,73
TOBG_MED-846,0,17,20,17
TOBG_MED-588,50,150,163,150
TOBG_MED-1190,10,64,17,64
TOBG_MED-665,13,92,36,92
TOBG_MED-768,7,43,13,43
TOBG_MED-762,52,93,33,93
TOBG_MED-715,1,28,11,28
TOBG_MED-867,1,31,8,31
TOBG_MED-810,12,79,55,79
TOBG_MED-734,21,84,77,84
TOBG_MED-743,2,37,15,37
TOBG_MED-1155,5,62,23,62
TOBG_MED-1122,88,156,71,156
TOBG_MED-633,24,122,46,122
TOBG_MED-855,8,52,71,52
TOBG_MED-591,2,38,35,38
TOBG_MED-828,12,64,56,64
TOBG_MED-706,3,20,20,20
TOBG_MED-692,25,68,73,68
TOBG_MED-698,11,72,55,72
TOBG_MED-601,144,289,83,289
TOBG_MED-676,8,63,42,63
TOBG_MED-1017,1,30,2,30
TOBG_MED-695,48,112,96,112
TOBG_MED-671,32,89,57,89
TOBG_MED-606,1,27,6,27
TOBG_MED-792,4,53,15,53
TOBG_MED-928,26,99,49,99
TOBG_MED-825,18,88,82,88
TOBG_MED-1269,3,39,11,39
TOBG_MED-955,1,30,31,30
TOBG_MED-596,12,58,38,58
TOBG_MED-649,12,54,41,54
TOBG_MED-744,9,50,62,50
TOBG_MED-733,19,63,63,63
TOBG_MED-643,58,158,43,158
TOBG_MED-739,7,52,9,52
TOBG_MED-718,3,38,39,38
TOBG_MED-615,9,56,47,56
TOBG_MED-712,15,47,61,47
TOBG_MED-765,3,56,18,56
TOBG_MED-668,53,165,106,165
TOBG_MED-585,5,38,16,38
TOBG_MED-1270,0,29,1,29
TOBG_MED-841,8,40,13,40
TOBG_MED-650,8,85,15,85
TOBG_MED-757,4,51,29,51
TOBG_MED-879,3,36,19,36
TOBG_MED-629,104,184,71,184
TOBG_MED-753,1,28,9,28
TOBG_MED-623,70,140,54,140
TOBG_MED-654,16,71,71,71
TOBG_MED-759,6,60,16,60
TOBG_MED-899,5,22,20,22
TOBG_MED-1094,10,55,42,55
TOBG_MED-716,6,90,21,90
TOBG_MED-682,11,67,24,67
TOBG_MED-666,3,39,41,39
TOBG_MED-611,10,64,63,64
TOBG_MED-581,10,63,71,63
TOBG_MED-630,2,52,7,52
TOBG_MED-740,1,12,3,12
TOBG_MED-819,20,59,47,59
TOBG_MED-880,2,41,10,41
TOBG_MED-813,0,24,4,24
TOBG_MED-778,14,69,28,69
TOBG_MED-796,44,94,41,94
TOBG_MED-602,3,43,9,43
TOBG_MED-705,1,18,17,18
TOBG_MED-608,20,70,56,70
TOBG_MED-592,34,132,108,132
TOBG_MED-598,1,31,39,31
TOBG_MED-856,18,65,11,65
TOBG_MED-921,2,21,20,21
TOBG_MED-595,3,44,10,44
TOBG_MED-605,7,52,8,52
TOBG_MED-672,8,74,44,74
TOBG_MED-708,41,103,61,103
TOBG_MED-775,1,27,12,27
TOBG_MED-696,47,96,11,96
TOBG_MED-702,22,112,104,112
TOBG_MED-814,1,55,16,55
TOBG_MED-104,3,25,6,25
TOBG_MED-637,3,52,20,52
TOBG_MED-730,4,51,15,51
TOBG_MED-747,5,48,27,48
TOBG_MED-835,6,53,26,53
TOBG_MED-586,9,46,43,46
TOBG_MED-1093,2,23,21,23
TOBG_MED-766,3,35,10,35
TOBG_MED-616,4,52,17,52
TOBG_MED-661,155,264,115,264
TOBG_MED-870,1,17,23,17
TOBG_MED-754,21,70,33,70
TOBG_MED-659,120,189,103,189
TOBG_MED-729,4,37,11,37
TOBG_MED-653,14,91,104,91
TOBG_MED-624,14,87,128,87
TOBG_NAT-138,19,93,29,93
TOBG_NAT-145,39,108,15,108
TOBG_NAT-132,121,191,65,191
TOBG_NAT-40,5,91,24,91
TOBG_NAT-575,1,40,11,40
TOBG_NAT-231,39,94,45,94
TOBG_NAT-96,2,22,18,22
TOBG_NAT-72,4,44,13,44
TOBG_NAT-100,6,56,6,56
TOBG_NAT-203,15,98,53,98
TOBG_NAT-290,58,409,63,409
TOBG_NAT-209,26,104,70,104
TOBG_NAT-121,47,202,100,202
TOBG_NAT-53,1,26,7,26
TOBG_NAT-24,15,91,37,91
TOBG_NAT-222,1,31,4,31
TOBG_NAT-255,8,58,9,58
TOBG_NAT-16,26,133,124,133
TOBG_NAT-61,217,343,116,343
TOBG_NAT-113,22,120,91,120
TOBG_NAT-453,0,34,6,34
TOBG_NAT-85,83,195,137,195
TOBG_NAT-119,2,43,6,43
TOBG_NAT-210,186,323,158,323
TOBG_NAT-284,3,67,4,67
TOBG_NAT-217,10,58,37,58
TOBG_NAT-88,6,37,50,37
TOBG_NAT-66,6,67,19,67
TOBG_NAT-11,5,45,22,45
TOBG_NAT-163,34,113,29,113
TOBG_NAT-82,21,167,32,167
TOBG_NAT-187,40,146,63,146
TOBG_NAT-169,56,227,45,227
TOBG_NAT-258,40,162,63,162
TOBG_NAT-7,21,157,39,157
TOBG_NAT-686,11,62,27,62
TOBG_NAT-252,23,68,52,68
TOBG_NAT-225,31,118,117,118
TOBG_NAT-23,197,373,141,373
TOBG_NAT-54,0,11,16,11
TOBG_NAT-91,16,89,94,89
TOBG_NAT-430,1,27,10,27
TOBG_NAT-75,20,109,44,109
TOBG_NAT-170,19,156,44,156
TOBG_NAT-241,14,104,19,104
TOBG_NAT-236,92,178,46,178
TOBG_NAT-142,119,176,61,176
TOBG_NAT-30,21,143,48,143
TOBG_NAT-238,4,34,20,34
TOBG_NAT-245,4,60,11,60
TOBG_NAT-232,5,56,20,56
TOBG_NAT-501,4,30,44,30
TOBG_NAT-34,3,48,43,48
TOBG_NAT-43,5,59,28,59
TOBG_NAT-131,63,228,139,228
TOBG_NAT-146,6,57,11,57
TOBG_NAT-200,12,53,45,53
TOBG_NAT-71,2,50,9,50
TOBG_NAT-190,1,36,5,36
TOBG_NAT-109,17,96,26,96
TOBG_NAT-221,9,82,17,82
TOBG_NAT-9,22,107,26,107
TOBG_NAT-3,25,155,63,155
TOBG_NAT-155,346,504,125,504
TOBG_NAT-280,22,74,84,74
TOBG_NAT-68,4,29,22,29
TOBG_NAT-167,30,203,56,203
TOBG_NAT-62,1,34,28,34
TOBG_NAT-15,164,316,180,316
TOBG_NAT-81,14,85,46,85
TOBG_NAT-18,10,82,26,82
TOBG_NAT-117,65,350,79,350
TOBG_NAT-12,16,66,42,66
TOBG_NAT-269,23,99,34,99
TOBG_NAT-158,12,89,19,89
TOBG_NAT-20,26,167,59,167
TOBG_NAT-125,21,114,30,114
TOBG_NAT-4,26,145,51,145
TOBG_NAT-173,34,193,63,193
TOBG_NAT-179,14,76,40,76
TOBG_NAT-197,22,94,39,94
TOBG_NAT-92,61,174,84,174
TOBG_NAT-33,10,94,40,94
TOBG_NAT-141,15,76,21,76
TOBG_NAT-136,12,78,30,78
TOBG_NAT-39,3,63,12,63
TOBG_NAT-248,38,107,41,107
TOBG_NAT-242,114,201,47,201
TOBG_NAT-278,12,88,22,88
TOBG_NAT-272,10,53,48,53
TOBG_NAT-205,19,76,34,76
TOBG_NAT-74,1,32,38,32
TOBG_NAT-171,3,45,5,45
TOBG_NAT-90,21,60,59,60
TOBG_NAT-237,51,126,13,126
TOBG_NAT-143,7,54,6,54
TOBG_NAT-134,56,196,126,196
TOBG_NAT-46,9,76,37,76
TOBG_NAT-149,45,127,63,127
TOBG_NAT-168,0,13,3,13
TOBG_NAT-422,13,55,50,55
TOBG_NAT-89,19,82,113,82
TOBG_NAT-10,29,204,62,204
TOBG_NAT-67,19,117,54,117
TOBG_NAT-224,13,70,39,70
TOBG_NAT-253,36,156,51,156
TOBG_NAT-6,55,137,142,137
TOBG_NAT-259,19,82,43,82
TOBG_NAT-28,16,134,29,134
TOBG_NAT-127,15,124,45,124
TOBG_NAT-55,8,42,27,42
TOBG_NAT-22,183,460,49,460
TOBG_NAT-417,1,31,5,31
TOBG_NAT-157,17,131,30,131
TOBG_NAT-52,14,48,44,48
TOBG_NAT-510,1,26,11,26
TOBG_NAT-1,57,286,39,286
TOBG_NAT-84,19,79,101,79
TOBG_NAT-118,1,43,2,43
TOBG_NAT-181,122,192,71,192
TOBG_NAT-60,18,79,74,79
TOBG_NAT-17,26,142,41,142
TOBG_NAT-165,28,111,60,111
TOBG_NAT-288,6,41,16,41
TOBG_NAT-282,83,188,102,188
TOBG_NAT-133,80,214,142,214
TOBG_NAT-41,25,89,77,89
TOBG_NAT-139,2,19,16,19
TOBG_NAT-509,1,26,7,26
TOBG_NAT-198,11,79,38,79
TOBG_NAT-176,16,111,50,111
TOBG_NAT-101,23,83,79,83
TOBG_NAT-441,0,20,5,20
TOBG_NAT-79,16,87,43,87
TOBG_NAT-291,25,121,66,121
TOBG_NAT-178,22,93,50,93
TOBG_NAT-535,1,32,15,32
TOBG_NAT-172,3,44,13,44
TOBG_NAT-206,3,68,17,68
TOBG_NAT-271,5,37,18,37
TOBG_NAT-32,37,173,42,173
TOBG_NAT-45,3,48,38,48
TOBG_NAT-137,2,57,6,57
TOBG_NAT-249,6,74,15,74
TOBG_NAT-161,48,111,60,111
TOBG_NAT-116,13,117,18,117
TOBG_NAT-64,20,111,59,111
TOBG_NAT-13,4,65,4,65
TOBG_NAT-185,7,67,9,67
TOBG_NAT-19,62,155,103,155
TOBG_NAT-21,27,145,140,145
TOBG_NAT-124,26,259,66,259
TOBG_NAT-5,23,119,80,119
TOBG_NAT-2,24,71,71,71
TOBG_NAT-8,35,125,127,125
TOBG_NAT-220,12,70,38,70
TOBG_NAT-26,15,94,42,94
TOBG_NAT-154,5,38,20,38
TOBG_NAT-123,64,379,97,379
TOBG_NAT-129,27,138,115,138
TOBG_NAT-218,2,67,10,67
TOBG_NAT-212,83,193,82,193
TOBG_NAT-111,80,199,164,199
TOBG_NAT-166,14,92,38,92
TOBG_NAT-188,3,60,4,60
TOBG_NAT-14,155,280,81,280
TOBG_NAT-182,4,65,5,65
TOBG_NAT-69,128,205,83,205
TOBG_NAT-239,19,163,48,163
TOBG_NAT-130,221,417,83,417
TOBG_NAT-276,23,130,43,130
TOBG_NAT-201,16,150,20,150
TOBG_NAT-108,13,72,12,72
TOBG_NAT-94,22,139,85,139
TOBG_NAT-102,8,70,12,70
TOBG_NAT-175,32,96,51,96
TOBG_NAT-70,8,114,23,114
TOBG_NP-955,11,105,20,105
TOBG_NP-90,27,119,53,119
TOBG_NP-142,0,18,0,18
TOBG_NP-135,5,84,10,84
TOBG_NP-107,29,91,53,91
TOBG_NP-151,19,85,44,85
TOBG_NP-89,16,122,78,122
TOBG_NP-10,35,152,36,152
TOBG_NP-946,26,96,47,96
TOBG_NP-931,5,64,39,64
TOBG_NP-28,25,138,39,138
TOBG_NP-6,53,277,74,277
TOBG_NP-55,19,80,79,80
TOBG_NP-22,20,63,42,63
TOBG_NP-113,19,127,30,127
TOBG_NP-58,145,224,84,224
TOBG_NP-997,28,105,54,105
TOBG_NP-973,12,92,29,92
TOBG_NP-1051,5,52,13,52
TOBG_NP-119,45,192,156,192
TOBG_NP-25,10,96,19,96
TOBG_NP-52,9,80,17,80
TOBG_NP-1,13,82,32,82
TOBG_NP-156,18,91,35,91
TOBG_NP-60,67,280,58,280
TOBG_NP-17,12,103,24,103
TOBG_NP-936,70,189,146,189
TOBG_NP-36,33,186,56,186
TOBG_NP-41,51,248,58,248
TOBG_NP-960,206,291,85,291
TOBG_NP-1472,11,66,15,66
TOBG_NP-100,36,123,91,123
TOBG_NP-952,21,213,28,213
TOBG_NP-73,6,39,18,39
TOBG_NP-138,6,111,8,111
TOBG_NP-1070,1,53,27,53
TOBG_NP-97,17,102,21,102
TOBG_NP-79,6,69,18,69
TOBG_NP-132,9,78,9,78
TOBG_NP-77,1,49,4,49
TOBG_NP-99,252,453,108,453
TOBG_NP-1444,23,94,25,94
TOBG_NP-956,18,98,83,98
TOBG_NP-38,115,203,67,203
TOBG_NP-104,8,59,35,59
TOBG_NP-980,14,71,32,71
TOBG_NP-964,19,120,80,120
TOBG_NP-32,20,132,33,132
TOBG_NP-45,16,110,26,110
TOBG_NP-1046,10,71,22,71
TOBG_NP-932,10,62,51,62
TOBG_NP-945,74,156,40,156
TOBG_NP-64,22,95,41,95
TOBG_NP-13,26,118,49,118
TOBG_NP-1160,17,64,25,64
TOBG_NP-125,25,140,61,140
TOBG_NP-80,3,42,5,42
TOBG_NP-5,176,315,197,315
TOBG_NP-21,38,132,145,132
TOBG_NP-56,8,118,18,118
TOBG_NP-993,39,118,152,118
TOBG_NP-117,123,218,53,218
TOBG_NP-51,16,84,99,84
TOBG_NP-26,43,127,92,127
TOBG_NP-2,106,257,136,257
TOBG_NP-1052,42,129,42,129
TOBG_NP-970,2,64,9,64
TOBG_NP-8,20,102,74,102
TOBG_NP-110,2,21,14,21
TOBG_NP-942,9,85,17,85
TOBG_NP-63,11,66,25,66
TOBG_NP-122,6,70,13,70
TOBG_NP-69,133,312,31,312
TOBG_NP-87,177,279,89,279
TOBG_NP-948,16,108,48,108
TOBG_NP-103,49,140,93,140
TOBG_NP-969,12,84,18,84
TOBG_NP-987,31,103,36,103
TOBG_NP-42,54,151,127,151
TOBG_NP-109,141,286,62,286
TOBG_NP-94,28,127,51,127
TOBG_NP-951,42,137,86,137
TOBG_NP-1277,2,55,13,55
TOBG_NP-101,6,66,8,66
TOBG_NP-40,32,156,41,156
TOBG_NP-37,21,120,51,120
TOBG_NP-96,19,123,29,123
TOBG_NP-133,52,171,148,171
TOBG_NP-72,7,72,23,72
TOBG_NP-53,103,188,57,188
TOBG_NP-24,16,99,21,99
TOBG_NP-996,4,61,8,61
TOBG_NP-112,0,15,10,15
TOBG_NP-59,17,103,113,103
TOBG_NP-937,2,38,5,38
TOBG_NP-16,18,110,37,110
TOBG_NP-85,6,81,24,81
TOBG_NP-120,22,137,54,137
TOBG_NP-11,39,140,82,140
TOBG_NP-127,32,129,101,129
TOBG_NP-150,35,88,133,88
TOBG_NP-7,24,131,36,131
TOBG_NP-23,54,257,43,257
TOBG_NP-54,27,92,18,92
TOBG_NP-29,37,218,58,218
TOBG_NP-91,28,132,72,132
TOBG_NP-75,118,212,64,212
TOBG_NP-954,7,50,20,50
TOBG_NP-1391,29,115,111,115
TOBG_NP-106,2,24,13,24
TOBG_NP-982,13,65,20,65
TOBG_NP-966,4,43,15,43
TOBG_NP-1044,30,108,100,108
TOBG_NP-30,259,428,284,428
TOBG_NP-47,16,135,61,135
TOBG_NP-34,73,229,124,229
TOBG_NP-43,61,230,122,230
TOBG_NP-986,39,110,56,110
TOBG_NP-49,24,145,42,145
TOBG_NP-95,29,144,57,144
TOBG_NP-1395,7,63,17,63
TOBG_NP-9,27,157,83,157
TOBG_NP-1463,45,289,45,289
TOBG_NP-27,23,104,82,104
TOBG_NP-949,20,105,59,105
TOBG_NP-1521,0,19,15,19
TOBG_NP-68,6,68,7,68
TOBG_NP-86,299,443,110,443
TOBG_NP-15,41,137,109,137
TOBG_NP-939,15,98,38,98
TOBG_NP-153,14,78,53,78
TOBG_NP-124,53,281,76,281
TOBG_NP-81,60,323,46,323
TOBG_NP-18,1,29,20,29
TOBG_NP-12,28,120,51,120
TOBG_NP-65,2,27,18,27
TOBG_NP-944,2,47,28,47
TOBG_NP-992,12,127,18,127
TOBG_NP-4,52,251,127,251
TOBG_NP-57,12,76,20,76
TOBG_NP-20,6,58,7,58
TOBG_NP-140,17,131,23,131
TOBG_NP-92,17,118,29,118
TOBG_NP-44,24,82,59,82
TOBG_NP-33,33,169,64,169
TOBG_NP-965,1,17,16,17
TOBG_NP-39,19,146,49,146
TOBG_NP-105,25,78,78,78
TOBG_RS-447,9,57,18,57
TOBG_RS-817,7,66,13,66
TOBG_RS-346,2,44,5,44
TOBG_RS-402,13,64,45,64
TOBG_RS-408,33,92,58,92
TOBG_RS-389,16,72,47,72
TOBG_RS-367,23,113,109,113
TOBG_RS-383,228,354,104,354
TOBG_RS-423,65,269,64,269
TOBG_RS-454,6,53,5,53
TOBG_RS-355,27,195,70,195
TOBG_RS-668,4,48,9,48
TOBG_RS-615,15,159,25,159
TOBG_RS-416,2,84,7,84
TOBG_RS-352,3,33,20,33
TOBG_RS-665,11,70,18,70
TOBG_RS-453,5,46,9,46
TOBG_RS-384,5,58,8,58
TOBG_RS-508,5,56,18,56
TOBG_RS-472,7,29,22,29
TOBG_RS-822,59,358,57,358
TOBG_RS-341,19,89,36,89
TOBG_RS-440,5,33,22,33
TOBG_RS-397,19,80,82,80
TOBG_RS-373,30,88,138,88
TOBG_RS-439,20,82,38,82
TOBG_RS-814,1,19,14,19
TOBG_RS-826,7,98,15,98
TOBG_RS-401,5,26,17,26
TOBG_RS-678,1,36,7,36
TOBG_RS-420,2,44,6,44
TOBG_RS-380,11,100,21,100
TOBG_RS-364,13,120,26,120
TOBG_RS-412,11,56,13,56
TOBG_RS-465,15,77,55,77
TOBG_RS-415,38,121,57,121
TOBG_RS-654,3,34,6,34
TOBG_RS-387,7,55,9,55
TOBG_RS-363,30,138,66,138
TOBG_RS-342,24,129,56,129
TOBG_RS-348,7,38,18,38
TOBG_RS-821,37,329,36,329
TOBG_RS-406,8,43,20,43
TOBG_RS-394,2,65,12,65
TOBG_RS-434,11,92,23,92
TOBG_RS-819,0,43,5,43
TOBG_RS-404,11,63,19,63
TOBG_RS-372,13,62,18,62
TOBG_RS-460,10,69,9,69
TOBG_RS-359,46,114,34,114
TOBG_RS-458,29,100,109,100
TOBG_RS-361,20,118,32,118
TOBG_RS-626,0,39,20,39
TOBG_RS-382,9,75,16,75
TOBG_RS-388,3,64,17,64
TOBG_RS-422,8,85,12,85
TOBG_RS-428,38,96,37,96
TOBG_RS-467,31,98,51,98
TOBG_RS-648,4,54,5,54
TOBG_RS-391,7,51,4,51
TOBG_RS-816,14,68,31,68
TOBG_RS-431,21,89,40,89
TOBG_RS-349,5,56,8,56
TOBG_RS-797,14,99,19,99
TOBG_RS-820,1,57,9,57
TOBG_RS-395,231,348,84,348
TOBG_RS-371,2,75,10,75
TOBG_RS-435,4,58,1,58
TOBG_RS-350,10,67,57,67
TOBG_RS-386,16,120,25,120
TOBG_RS-426,32,141,57,141
TOBG_RS-421,19,85,53,85
TOBG_RS-456,67,186,116,186
TOBG_RS-365,20,71,48,71
TOBG_RS-381,1,36,6,36
TOBG_RS-652,4,67,35,67
TOBG_RS-419,21,90,37,90
TOBG_RS-464,48,175,86,175
TOBG_RS-357,5,77,10,77
TOBG_RS-432,6,44,18,44
TOBG_RS-815,4,45,20,45
TOBG_RS-438,22,75,56,75
TOBG_RS-535,2,52,11,52
TOBG_RS-392,2,21,21,21
TOBG_RS-376,270,417,104,417
TOBG_RS-398,334,509,116,509
TOBG_RS-604,6,36,22,36
TOBG_RS-697,14,95,16,95
TOBG_RS-344,4,69,12,69
TOBG_SAT-2766,21,71,65,71
TOBG_SAT-2788,7,62,74,62
TOBG_SAT-1434,8,52,18,52
TOBG_SAT-33,8,55,19,55
TOBG_SAT-182,0,25,5,25
TOBG_SAT-111,23,141,51,141
TOBG_SAT-166,2,28,10,28
TOBG_SAT-39,15,74,38,74
TOBG_SAT-1449,7,61,19,61
TOBG_SAT-220,0,18,6,18
TOBG_SAT-1342,1,29,10,29
TOBG_SAT-1608,2,30,9,30
TOBG_SAT-129,47,143,123,143
TOBG_SAT-98,98,237,137,237
TOBG_SAT-154,1,34,9,34
TOBG_SAT-92,13,112,46,112
TOBG_SAT-1369,4,32,25,32
TOBG_SAT-201,5,39,12,39
TOBG_SAT-175,22,76,51,76
TOBG_SAT-57,28,166,49,166
TOBG_SAT-20,13,98,36,98
TOBG_SAT-108,16,113,31,113
TOBG_SAT-2595,4,49,7,49
TOBG_SAT-1450,6,36,31,36
TOBG_SAT-1611,6,77,12,77
TOBG_SAT-3,3,53,19,53
TOBG_SAT-18,30,112,53,112
TOBG_SAT-130,35,132,87,132
TOBG_SAT-1462,40,131,132,131
TOBG_SAT-1415,4,61,14,61
TOBG_SAT-12,115,185,75,185
TOBG_SAT-9,10,102,39,102
TOBG_SAT-65,12,53,44,53
TOBG_SAT-137,0,19,6,19
TOBG_SAT-86,19,82,69,82
TOBG_SAT-140,8,57,43,57
TOBG_SAT-4,19,115,43,115
TOBG_SAT-1568,13,55,23,55
TOBG_SAT-62,24,106,38,106
TOBG_SAT-15,1,33,10,33
TOBG_SAT-105,13,53,29,53
TOBG_SAT-27,19,119,49,119
TOBG_SAT-206,0,29,6,29
TOBG_SAT-159,2,35,4,35
TOBG_SAT-1401,6,63,74,63
TOBG_SAT-95,3,28,23,28
TOBG_SAT-227,2,49,25,49
TOBG_SAT-185,3,37,35,37
TOBG_SAT-43,14,85,79,85
TOBG_SAT-49,21,111,86,111
TOBG_SAT-161,2,32,2,32
TOBG_SAT-116,0,16,16,16
TOBG_SAT-165,2,19,14,19
TOBG_SAT-112,19,100,72,100
TOBG_SAT-181,0,21,3,21
TOBG_SAT-47,86,140,54,140
TOBG_SAT-211,1,25,10,25
TOBG_SAT-91,0,47,11,47
TOBG_SAT-157,1,25,33,25
TOBG_SAT-1508,2,28,24,28
TOBG_SAT-75,10,87,46,87
TOBG_SAT-23,7,60,103,60
TOBG_SAT-54,24,130,49,130
TOBG_SAT-198,19,129,34,129
TOBG_SAT-176,8,81,35,81
TOBG_SAT-101,112,227,135,227
TOBG_SAT-1289,20,72,50,72
TOBG_SAT-66,10,86,28,86
TOBG_SAT-88,33,191,71,191
TOBG_SAT-139,1,12,2,12
TOBG_SAT-2910,8,54,32,54
TOBG_SAT-1582,1,30,9,30
TOBG_SAT-133,2,44,23,44
TOBG_SAT-1358,6,52,51,52
TOBG_SAT-230,13,105,108,105
TOBG_SAT-3021,17,87,73,87
TOBG_SAT-149,24,102,99,102
TOBG_SAT-61,15,77,65,77
TOBG_SAT-1585,23,60,28,60
TOBG_SAT-85,18,99,45,99
TOBG_SAT-134,12,71,68,71
TOBG_SAT-7,16,92,119,92
TOBG_SAT-205,0,19,26,19
TOBG_SAT-1367,8,71,17,71
TOBG_SAT-24,1,23,28,23
TOBG_SAT-195,5,59,51,59
TOBG_SAT-106,26,122,87,122
TOBG_SAT-59,21,104,78,104
TOBG_SAT-1553,5,24,18,24
TOBG_SAT-1331,4,54,10,54
TOBG_SAT-1346,2,31,7,31
TOBG_SAT-3048,0,19,7,19
TOBG_SAT-150,36,112,128,112
TOBG_SAT-127,3,37,13,37
TOBG_SAT-1475,3,49,12,49
TOBG_SAT-1309,10,86,107,86
TOBG_SAT-115,13,102,101,102
TOBG_SAT-162,11,98,41,98
TOBG_SAT-40,23,113,87,113
TOBG_SAT-37,19,109,42,109
TOBG_SAT-168,14,57,44,57
TOBG_SAT-152,8,49,36,49
TOBG_SAT-94,1,22,18,22
TOBG_SAT-1507,4,82,17,82
TOBG_SAT-1344,17,70,38,70
TOBG_SAT-226,12,55,48,55
TOBG_SAT-1339,8,68,84,68
TOBG_SAT-117,54,134,139,134
TOBG_SAT-42,10,79,36,79
TOBG_SAT-184,2,71,13,71
TOBG_SAT-35,15,108,123,108
TOBG_SAT-214,3,27,24,27
TOBG_SAT-14,62,113,46,113
TOBG_SAT-63,25,104,36,104
TOBG_SAT-141,17,100,106,100
TOBG_SAT-87,169,305,102,305
TOBG_SAT-69,38,122,108,122
TOBG_SAT-5,19,93,49,93
TOBG_SAT-179,15,73,74,73
TOBG_SAT-51,114,250,162,250
TOBG_SAT-197,27,58,5,58
TOBG_SAT-26,14,92,37,92
TOBG_SAT-104,18,103,97,103
TOBG_SAT-200,10,55,70,55
TOBG_SAT-1451,18,106,62,106
TOBG_SAT-56,34,112,50,112
TOBG_SAT-109,23,143,44,143
TOBG_SAT-103,13,58,47,58
TOBG_SAT-1610,26,90,36,90
TOBG_SAT-8,27,125,41,125
TOBG_SAT-64,20,116,39,116
TOBG_SAT-13,0,27,5,27
TOBG_SAT-19,58,138,161,138
TOBG_SAT-2,2,57,16,57
TOBG_SAT-131,10,38,42,38
TOBG_SAT-213,0,29,8,29
TOBG_SAT-1448,1,30,8,30
TOBG_SAT-110,14,90,25,90
TOBG_SAT-189,17,104,122,104
TOBG_SAT-38,4,26,22,26
TOBG_SAT-183,17,120,40,120
TOBG_SAT-2755,5,79,21,79
TOBG_SAT-1609,6,68,20,68
TOBG_SAT-221,0,40,6,40
TOBG_SAT-93,26,106,62,106
TOBG_SAT-122,8,30,18,30
TOBG_SAT-155,5,129,29,129
TOBG_SAT-128,12,134,38,134
TOBG_SAT-99,12,97,105,97
TOBG_SAT-77,3,40,34,40
TOBG_SAT-1607,1,29,8,29
TOBG_SAT-225,38,63,53,63
TOBG_SAT-73,8,92,31,92
TOBG_SAT-1403,6,40,11,40
TOBG_SAT-79,7,54,56,54
TOBG_SAT-97,12,95,54,95
TOBG_SAT-126,6,102,25,102
TOBG_SAT-217,10,63,31,63
TOBG_SAT-1391,12,66,91,66
TOBG_SAT-1308,15,122,38,122
TOBG_SAT-2787,2,54,12,54
TOBG_SAT-2619,1,29,23,29
TOBG_SAT-1446,1,23,11,23
TOBG_SAT-1431,1,34,16,34
TOBG_SAT-114,59,163,135,163
TOBG_SAT-1329,2,21,16,21
TOBG_SAT-1614,0,48,7,48
TOBG_SAT-135,4,38,52,38
TOBG_SAT-142,1,32,6,32
TOBG_SAT-6,13,99,40,99
TOBG_SAT-1517,4,37,9,37
TOBG_SAT-60,13,86,43,86
TOBG_SAT-17,5,55,53,55
TOBG_SAT-1366,7,47,98,47
TOBG_SAT-1388,6,37,50,37
TOBG_SAT-107,34,91,71,91
TOBG_SAT-25,10,88,68,88
TOBG_SAT-194,17,91,135,91
TOBG_SAT-52,22,129,51,129
TOBG_SAT-28,14,134,48,134
TOBG_SAT-177,6,66,17,66
TOBG_SAT-55,22,142,50,142
TOBG_SAT-193,6,36,44,36
TOBG_SAT-22,37,118,126,118
TOBG_SAT-1,17,90,51,90
TOBG_SAT-145,3,26,20,26
TOBG_SAT-132,19,58,39,58
